X	Potential(X)	Exp(-Potential(X))	Convolved Exp(-Potential(X))	Potential from Convolved Density
-2.0000	2.0000	0.1353	0.1504	1.8942
-1.9900	1.9405	0.1436	0.1565	1.8546
-1.9800	1.8822	0.1523	0.1627	1.8158
-1.9700	1.8249	0.1612	0.1690	1.7776
-1.9600	1.7687	0.1706	0.1755	1.7402
-1.9500	1.7135	0.1802	0.1821	1.7034
-1.9400	1.6594	0.1903	0.1888	1.6672
-1.9300	1.6063	0.2006	0.1956	1.6318
-1.9200	1.5542	0.2114	0.2025	1.5969
-1.9100	1.5031	0.2224	0.2096	1.5627
-1.9000	1.4530	0.2339	0.2167	1.5291
-1.8900	1.4039	0.2456	0.2240	1.4961
-1.8800	1.3558	0.2577	0.2314	1.4637
-1.8700	1.3086	0.2702	0.2389	1.4319
-1.8600	1.2624	0.2830	0.2465	1.4006
-1.8500	1.2171	0.2961	0.2541	1.3699
-1.8400	1.1728	0.3095	0.2619	1.3397
-1.8300	1.1293	0.3232	0.2698	1.3101
-1.8200	1.0868	0.3373	0.2778	1.2810
-1.8100	1.0452	0.3516	0.2858	1.2524
-1.8000	1.0044	0.3663	0.2940	1.2243
-1.7900	0.9645	0.3812	0.3022	1.1967
-1.7800	0.9255	0.3963	0.3105	1.1696
-1.7700	0.8873	0.4118	0.3189	1.1430
-1.7600	0.8500	0.4274	0.3273	1.1168
-1.7500	0.8135	0.4433	0.3358	1.0912
-1.7400	0.7778	0.4594	0.3444	1.0660
-1.7300	0.7429	0.4757	0.3530	1.0412
-1.7200	0.7088	0.4922	0.3617	1.0169
-1.7100	0.6755	0.5089	0.3705	0.9930
-1.7000	0.6430	0.5257	0.3792	0.9696
-1.6900	0.6113	0.5427	0.3881	0.9465
-1.6800	0.5803	0.5597	0.3969	0.9239
-1.6700	0.5500	0.5769	0.4059	0.9018
-1.6600	0.5205	0.5942	0.4148	0.8800
-1.6500	0.4918	0.6116	0.4238	0.8586
-1.6400	0.4637	0.6290	0.4327	0.8376
-1.6300	0.4363	0.6464	0.4418	0.8170
-1.6200	0.4097	0.6639	0.4508	0.7968
-1.6100	0.3837	0.6813	0.4598	0.7769
-1.6000	0.3584	0.6988	0.4688	0.7575
-1.5900	0.3338	0.7162	0.4779	0.7384
-1.5800	0.3098	0.7336	0.4869	0.7196
-1.5700	0.2865	0.7509	0.4960	0.7012
-1.5600	0.2638	0.7681	0.5050	0.6832
-1.5500	0.2418	0.7853	0.5140	0.6655
-1.5400	0.2203	0.8023	0.5230	0.6482
-1.5300	0.1995	0.8191	0.5320	0.6312
-1.5200	0.1793	0.8359	0.5409	0.6145
-1.5100	0.1597	0.8524	0.5498	0.5981
-1.5000	0.1406	0.8688	0.5587	0.5821
-1.4900	0.1222	0.8850	0.5669	0.5675
-1.4800	0.1043	0.9010	0.5751	0.5533
-1.4700	0.0869	0.9167	0.5831	0.5394
-1.4600	0.0701	0.9323	0.5911	0.5258
-1.4500	0.0539	0.9475	0.5990	0.5125
-1.4400	0.0382	0.9626	0.6068	0.4995
-1.4300	0.0230	0.9773	0.6146	0.4868
-1.4200	0.0083	0.9918	0.6222	0.4745
-1.4100	-0.0059	1.0059	0.6297	0.4624
-1.4000	-0.0196	1.0198	0.6372	0.4507
-1.3900	-0.0328	1.0333	0.6445	0.4393
-1.3800	-0.0455	1.0466	0.6517	0.4281
-1.3700	-0.0578	1.0595	0.6588	0.4173
-1.3600	-0.0695	1.0720	0.6658	0.4067
-1.3500	-0.0809	1.0842	0.6727	0.3965
-1.3400	-0.0918	1.0961	0.6794	0.3865
-1.3300	-0.1022	1.1076	0.6860	0.3768
-1.3200	-0.1122	1.1187	0.6925	0.3674
-1.3100	-0.1218	1.1295	0.6989	0.3583
-1.3000	-0.1310	1.1399	0.7051	0.3494
-1.2900	-0.1397	1.1500	0.7112	0.3408
-1.2800	-0.1481	1.1596	0.7171	0.3325
-1.2700	-0.1561	1.1689	0.7229	0.3245
-1.2600	-0.1637	1.1778	0.7285	0.3167
-1.2500	-0.1709	1.1864	0.7340	0.3092
-1.2400	-0.1777	1.1945	0.7394	0.3019
-1.2300	-0.1842	1.2023	0.7446	0.2949
-1.2200	-0.1904	1.2097	0.7496	0.2882
-1.2100	-0.1962	1.2167	0.7545	0.2817
-1.2000	-0.2016	1.2234	0.7592	0.2754
-1.1900	-0.2067	1.2296	0.7638	0.2694
-1.1800	-0.2115	1.2355	0.7682	0.2637
-1.1700	-0.2160	1.2411	0.7725	0.2582
-1.1600	-0.2201	1.2463	0.7766	0.2529
-1.1500	-0.2240	1.2511	0.7805	0.2478
-1.1400	-0.2276	1.2555	0.7843	0.2430
-1.1300	-0.2308	1.2596	0.7879	0.2384
-1.1200	-0.2338	1.2634	0.7913	0.2340
-1.1100	-0.2365	1.2668	0.7946	0.2299
-1.1000	-0.2390	1.2699	0.7978	0.2259
-1.0900	-0.2412	1.2727	0.8008	0.2222
-1.0800	-0.2431	1.2752	0.8036	0.2187
-1.0700	-0.2448	1.2773	0.8062	0.2154
-1.0600	-0.2462	1.2791	0.8087	0.2123
-1.0500	-0.2474	1.2807	0.8111	0.2094
-1.0400	-0.2483	1.2819	0.8133	0.2067
-1.0300	-0.2491	1.2828	0.8153	0.2042
-1.0200	-0.2496	1.2835	0.8172	0.2018
-1.0100	-0.2499	1.2839	0.8190	0.1997
-1.0000	-0.2500	1.2840	0.8206	0.1978
-0.9900	-0.2499	1.2839	0.8220	0.1960
-0.9800	-0.2496	1.2835	0.8233	0.1944
-0.9700	-0.2491	1.2829	0.8245	0.1930
-0.9600	-0.2485	1.2821	0.8255	0.1917
-0.9500	-0.2476	1.2810	0.8264	0.1906
-0.9400	-0.2466	1.2797	0.8272	0.1897
-0.9300	-0.2454	1.2782	0.8278	0.1890
-0.9200	-0.2441	1.2765	0.8283	0.1884
-0.9100	-0.2426	1.2746	0.8287	0.1879
-0.9000	-0.2410	1.2725	0.8289	0.1876
-0.8900	-0.2392	1.2702	0.8291	0.1874
-0.8800	-0.2373	1.2678	0.8291	0.1874
-0.8700	-0.2352	1.2652	0.8290	0.1875
-0.8600	-0.2330	1.2624	0.8288	0.1878
-0.8500	-0.2307	1.2595	0.8285	0.1882
-0.8400	-0.2283	1.2565	0.8280	0.1887
-0.8300	-0.2258	1.2533	0.8275	0.1893
-0.8200	-0.2232	1.2500	0.8269	0.1901
-0.8100	-0.2204	1.2466	0.8262	0.1909
-0.8000	-0.2176	1.2431	0.8254	0.1919
-0.7900	-0.2147	1.2395	0.8245	0.1930
-0.7800	-0.2117	1.2357	0.8235	0.1942
-0.7700	-0.2086	1.2319	0.8224	0.1955
-0.7600	-0.2054	1.2280	0.8213	0.1969
-0.7500	-0.2021	1.2240	0.8201	0.1984
-0.7400	-0.1988	1.2200	0.8188	0.1999
-0.7300	-0.1955	1.2159	0.8174	0.2016
-0.7200	-0.1920	1.2117	0.8160	0.2034
-0.7100	-0.1885	1.2075	0.8145	0.2052
-0.7000	-0.1850	1.2032	0.8130	0.2071
-0.6900	-0.1814	1.1989	0.8114	0.2090
-0.6800	-0.1777	1.1945	0.8097	0.2111
-0.6700	-0.1741	1.1901	0.8080	0.2132
-0.6600	-0.1704	1.1857	0.8063	0.2153
-0.6500	-0.1666	1.1813	0.8045	0.2175
-0.6400	-0.1629	1.1769	0.8027	0.2198
-0.6300	-0.1591	1.1724	0.8008	0.2221
-0.6200	-0.1553	1.1680	0.7989	0.2245
-0.6100	-0.1514	1.1635	0.7970	0.2269
-0.6000	-0.1476	1.1590	0.7950	0.2294
-0.5900	-0.1438	1.1546	0.7931	0.2318
-0.5800	-0.1399	1.1502	0.7911	0.2344
-0.5700	-0.1361	1.1458	0.7891	0.2369
-0.5600	-0.1322	1.1414	0.7870	0.2395
-0.5500	-0.1284	1.1370	0.7850	0.2421
-0.5400	-0.1245	1.1326	0.7830	0.2447
-0.5300	-0.1207	1.1283	0.7809	0.2473
-0.5200	-0.1169	1.1240	0.7788	0.2499
-0.5100	-0.1131	1.1198	0.7768	0.2526
-0.5000	-0.1094	1.1156	0.7747	0.2552
-0.4900	-0.1056	1.1114	0.7727	0.2579
-0.4800	-0.1019	1.1073	0.7706	0.2606
-0.4700	-0.0983	1.1032	0.7686	0.2632
-0.4600	-0.0946	1.0992	0.7665	0.2659
-0.4500	-0.0910	1.0953	0.7645	0.2685
-0.4400	-0.0874	1.0914	0.7625	0.2711
-0.4300	-0.0839	1.0875	0.7605	0.2737
-0.4200	-0.0804	1.0837	0.7586	0.2763
-0.4100	-0.0770	1.0800	0.7566	0.2789
-0.4000	-0.0736	1.0764	0.7547	0.2814
-0.3900	-0.0703	1.0728	0.7528	0.2840
-0.3800	-0.0670	1.0693	0.7509	0.2865
-0.3700	-0.0638	1.0658	0.7491	0.2889
-0.3600	-0.0606	1.0625	0.7473	0.2914
-0.3500	-0.0575	1.0592	0.7455	0.2937
-0.3400	-0.0545	1.0560	0.7437	0.2961
-0.3300	-0.0515	1.0528	0.7420	0.2984
-0.3200	-0.0486	1.0498	0.7403	0.3007
-0.3100	-0.0457	1.0468	0.7387	0.3029
-0.3000	-0.0430	1.0439	0.7371	0.3051
-0.2900	-0.0403	1.0411	0.7355	0.3072
-0.2800	-0.0377	1.0384	0.7340	0.3093
-0.2700	-0.0351	1.0357	0.7325	0.3113
-0.2600	-0.0327	1.0332	0.7311	0.3133
-0.2500	-0.0303	1.0307	0.7297	0.3152
-0.2400	-0.0280	1.0284	0.7283	0.3170
-0.2300	-0.0258	1.0261	0.7270	0.3188
-0.2200	-0.0236	1.0239	0.7258	0.3205
-0.2100	-0.0216	1.0218	0.7246	0.3222
-0.2000	-0.0196	1.0198	0.7234	0.3238
-0.1900	-0.0177	1.0179	0.7223	0.3253
-0.1800	-0.0159	1.0161	0.7213	0.3267
-0.1700	-0.0142	1.0143	0.7203	0.3281
-0.1600	-0.0126	1.0127	0.7193	0.3294
-0.1500	-0.0111	1.0112	0.7185	0.3307
-0.1400	-0.0097	1.0098	0.7176	0.3318
-0.1300	-0.0084	1.0084	0.7168	0.3329
-0.1200	-0.0071	1.0072	0.7161	0.3339
-0.1100	-0.0060	1.0060	0.7155	0.3348
-0.1000	-0.0050	1.0050	0.7148	0.3357
-0.0900	-0.0040	1.0040	0.7143	0.3365
-0.0800	-0.0032	1.0032	0.7138	0.3372
-0.0700	-0.0024	1.0024	0.7134	0.3378
-0.0600	-0.0018	1.0018	0.7130	0.3383
-0.0500	-0.0012	1.0012	0.7126	0.3388
-0.0400	-0.0008	1.0008	0.7124	0.3391
-0.0300	-0.0004	1.0004	0.7122	0.3394
-0.0200	-0.0002	1.0002	0.7120	0.3396
-0.0100	-0.0000	1.0000	0.7119	0.3398
0.0000	0.0000	1.0000	0.7119	0.3398
0.0100	-0.0000	1.0000	0.7119	0.3398
0.0200	-0.0002	1.0002	0.7120	0.3396
0.0300	-0.0004	1.0004	0.7122	0.3394
0.0400	-0.0008	1.0008	0.7124	0.3391
0.0500	-0.0012	1.0012	0.7126	0.3388
0.0600	-0.0018	1.0018	0.7130	0.3383
0.0700	-0.0024	1.0024	0.7134	0.3378
0.0800	-0.0032	1.0032	0.7138	0.3372
0.0900	-0.0040	1.0040	0.7143	0.3365
0.1000	-0.0050	1.0050	0.7148	0.3357
0.1100	-0.0060	1.0060	0.7155	0.3348
0.1200	-0.0071	1.0072	0.7161	0.3339
0.1300	-0.0084	1.0084	0.7168	0.3329
0.1400	-0.0097	1.0098	0.7176	0.3318
0.1500	-0.0111	1.0112	0.7185	0.3307
0.1600	-0.0126	1.0127	0.7193	0.3294
0.1700	-0.0142	1.0143	0.7203	0.3281
0.1800	-0.0159	1.0161	0.7213	0.3267
0.1900	-0.0177	1.0179	0.7223	0.3253
0.2000	-0.0196	1.0198	0.7234	0.3238
0.2100	-0.0216	1.0218	0.7246	0.3222
0.2200	-0.0236	1.0239	0.7258	0.3205
0.2300	-0.0258	1.0261	0.7270	0.3188
0.2400	-0.0280	1.0284	0.7283	0.3170
0.2500	-0.0303	1.0307	0.7297	0.3152
0.2600	-0.0327	1.0332	0.7311	0.3133
0.2700	-0.0351	1.0357	0.7325	0.3113
0.2800	-0.0377	1.0384	0.7340	0.3093
0.2900	-0.0403	1.0411	0.7355	0.3072
0.3000	-0.0430	1.0439	0.7371	0.3051
0.3100	-0.0457	1.0468	0.7387	0.3029
0.3200	-0.0486	1.0498	0.7403	0.3007
0.3300	-0.0515	1.0528	0.7420	0.2984
0.3400	-0.0545	1.0560	0.7437	0.2961
0.3500	-0.0575	1.0592	0.7455	0.2937
0.3600	-0.0606	1.0625	0.7473	0.2914
0.3700	-0.0638	1.0658	0.7491	0.2889
0.3800	-0.0670	1.0693	0.7509	0.2865
0.3900	-0.0703	1.0728	0.7528	0.2840
0.4000	-0.0736	1.0764	0.7547	0.2814
0.4100	-0.0770	1.0800	0.7566	0.2789
0.4200	-0.0804	1.0837	0.7586	0.2763
0.4300	-0.0839	1.0875	0.7605	0.2737
0.4400	-0.0874	1.0914	0.7625	0.2711
0.4500	-0.0910	1.0953	0.7645	0.2685
0.4600	-0.0946	1.0992	0.7665	0.2659
0.4700	-0.0983	1.1032	0.7686	0.2632
0.4800	-0.1019	1.1073	0.7706	0.2606
0.4900	-0.1056	1.1114	0.7727	0.2579
0.5000	-0.1094	1.1156	0.7747	0.2552
0.5100	-0.1131	1.1198	0.7768	0.2526
0.5200	-0.1169	1.1240	0.7788	0.2499
0.5300	-0.1207	1.1283	0.7809	0.2473
0.5400	-0.1245	1.1326	0.7830	0.2447
0.5500	-0.1284	1.1370	0.7850	0.2421
0.5600	-0.1322	1.1414	0.7870	0.2395
0.5700	-0.1361	1.1458	0.7891	0.2369
0.5800	-0.1399	1.1502	0.7911	0.2344
0.5900	-0.1438	1.1546	0.7931	0.2318
0.6000	-0.1476	1.1590	0.7950	0.2294
0.6100	-0.1514	1.1635	0.7970	0.2269
0.6200	-0.1553	1.1680	0.7989	0.2245
0.6300	-0.1591	1.1724	0.8008	0.2221
0.6400	-0.1629	1.1769	0.8027	0.2198
0.6500	-0.1666	1.1813	0.8045	0.2175
0.6600	-0.1704	1.1857	0.8063	0.2153
0.6700	-0.1741	1.1901	0.8080	0.2132
0.6800	-0.1777	1.1945	0.8097	0.2111
0.6900	-0.1814	1.1989	0.8114	0.2090
0.7000	-0.1850	1.2032	0.8130	0.2071
0.7100	-0.1885	1.2075	0.8145	0.2052
0.7200	-0.1920	1.2117	0.8160	0.2034
0.7300	-0.1955	1.2159	0.8174	0.2016
0.7400	-0.1988	1.2200	0.8188	0.1999
0.7500	-0.2021	1.2240	0.8201	0.1984
0.7600	-0.2054	1.2280	0.8213	0.1969
0.7700	-0.2086	1.2319	0.8224	0.1955
0.7800	-0.2117	1.2357	0.8235	0.1942
0.7900	-0.2147	1.2395	0.8245	0.1930
0.8000	-0.2176	1.2431	0.8254	0.1919
0.8100	-0.2204	1.2466	0.8262	0.1909
0.8200	-0.2232	1.2500	0.8269	0.1901
0.8300	-0.2258	1.2533	0.8275	0.1893
0.8400	-0.2283	1.2565	0.8280	0.1887
0.8500	-0.2307	1.2595	0.8285	0.1882
0.8600	-0.2330	1.2624	0.8288	0.1878
0.8700	-0.2352	1.2652	0.8290	0.1875
0.8800	-0.2373	1.2678	0.8291	0.1874
0.8900	-0.2392	1.2702	0.8291	0.1874
0.9000	-0.2410	1.2725	0.8289	0.1876
0.9100	-0.2426	1.2746	0.8287	0.1879
0.9200	-0.2441	1.2765	0.8283	0.1884
0.9300	-0.2454	1.2782	0.8278	0.1890
0.9400	-0.2466	1.2797	0.8272	0.1897
0.9500	-0.2476	1.2810	0.8264	0.1906
0.9600	-0.2485	1.2821	0.8255	0.1917
0.9700	-0.2491	1.2829	0.8245	0.1930
0.9800	-0.2496	1.2835	0.8233	0.1944
0.9900	-0.2499	1.2839	0.8220	0.1960
1.0000	-0.2500	1.2840	0.8206	0.1978
1.0100	-0.2499	1.2839	0.8190	0.1997
1.0200	-0.2496	1.2835	0.8172	0.2018
1.0300	-0.2491	1.2828	0.8153	0.2042
1.0400	-0.2483	1.2819	0.8133	0.2067
1.0500	-0.2474	1.2807	0.8111	0.2094
1.0600	-0.2462	1.2791	0.8087	0.2123
1.0700	-0.2448	1.2773	0.8062	0.2154
1.0800	-0.2431	1.2752	0.8036	0.2187
1.0900	-0.2412	1.2727	0.8008	0.2222
1.1000	-0.2390	1.2699	0.7978	0.2259
1.1100	-0.2365	1.2668	0.7946	0.2299
1.1200	-0.2338	1.2634	0.7913	0.2340
1.1300	-0.2308	1.2596	0.7879	0.2384
1.1400	-0.2276	1.2555	0.7843	0.2430
1.1500	-0.2240	1.2511	0.7805	0.2478
1.1600	-0.2201	1.2463	0.7766	0.2529
