X	Potential(X)	Exp(-Potential(X))	Convolved Exp(-Potential(X))	Potential from Convolved Density
-2.0000	2.0000	0.1353	0.1540	1.8710
-1.9900	1.9405	0.1436	0.1632	1.8128
-1.9800	1.8822	0.1523	0.1727	1.7560
-1.9700	1.8249	0.1612	0.1826	1.7007
-1.9600	1.7687	0.1706	0.1927	1.6466
-1.9500	1.7135	0.1802	0.2031	1.5939
-1.9400	1.6594	0.1903	0.2139	1.5424
-1.9300	1.6063	0.2006	0.2249	1.4922
-1.9200	1.5542	0.2114	0.2362	1.4431
-1.9100	1.5031	0.2224	0.2478	1.3953
-1.9000	1.4530	0.2339	0.2596	1.3485
-1.8900	1.4039	0.2456	0.2718	1.3028
-1.8800	1.3558	0.2577	0.2842	1.2582
-1.8700	1.3086	0.2702	0.2968	1.2146
-1.8600	1.2624	0.2830	0.3097	1.1721
-1.8500	1.2171	0.2961	0.3229	1.1305
-1.8400	1.1728	0.3095	0.3362	1.0900
-1.8300	1.1293	0.3232	0.3498	1.0504
-1.8200	1.0868	0.3373	0.3636	1.0117
-1.8100	1.0452	0.3516	0.3776	0.9739
-1.8000	1.0044	0.3663	0.3918	0.9371
-1.7900	0.9645	0.3812	0.4061	0.9011
-1.7800	0.9255	0.3963	0.4206	0.8660
-1.7700	0.8873	0.4118	0.4353	0.8318
-1.7600	0.8500	0.4274	0.4500	0.7985
-1.7500	0.8135	0.4433	0.4649	0.7660
-1.7400	0.7778	0.4594	0.4799	0.7343
-1.7300	0.7429	0.4757	0.4949	0.7034
-1.7200	0.7088	0.4922	0.5100	0.6733
-1.7100	0.6755	0.5089	0.5252	0.6439
-1.7000	0.6430	0.5257	0.5405	0.6153
-1.6900	0.6113	0.5427	0.5558	0.5874
-1.6800	0.5803	0.5597	0.5711	0.5601
-1.6700	0.5500	0.5769	0.5865	0.5336
-1.6600	0.5205	0.5942	0.6019	0.5077
-1.6500	0.4918	0.6116	0.6173	0.4824
-1.6400	0.4637	0.6290	0.6327	0.4578
-1.6300	0.4363	0.6464	0.6480	0.4338
-1.6200	0.4097	0.6639	0.6634	0.4104
-1.6100	0.3837	0.6813	0.6787	0.3876
-1.6000	0.3584	0.6988	0.6940	0.3653
-1.5900	0.3338	0.7162	0.7092	0.3436
-1.5800	0.3098	0.7336	0.7244	0.3225
-1.5700	0.2865	0.7509	0.7395	0.3018
-1.5600	0.2638	0.7681	0.7545	0.2818
-1.5500	0.2418	0.7853	0.7694	0.2622
-1.5400	0.2203	0.8023	0.7842	0.2431
-1.5300	0.1995	0.8191	0.7989	0.2245
-1.5200	0.1793	0.8359	0.8135	0.2064
-1.5100	0.1597	0.8524	0.8279	0.1888
-1.5000	0.1406	0.8688	0.8423	0.1716
-1.4900	0.1222	0.8850	0.8565	0.1549
-1.4800	0.1043	0.9010	0.8705	0.1387
-1.4700	0.0869	0.9167	0.8844	0.1228
-1.4600	0.0701	0.9323	0.8981	0.1075
-1.4500	0.0539	0.9475	0.9116	0.0925
-1.4400	0.0382	0.9626	0.9250	0.0780
-1.4300	0.0230	0.9773	0.9381	0.0639
-1.4200	0.0083	0.9918	0.9511	0.0502
-1.4100	-0.0059	1.0059	0.9638	0.0369
-1.4000	-0.0196	1.0198	0.9763	0.0240
-1.3900	-0.0328	1.0333	0.9885	0.0116
-1.3800	-0.0455	1.0466	1.0005	-0.0005
-1.3700	-0.0578	1.0595	1.0123	-0.0122
-1.3600	-0.0695	1.0720	1.0238	-0.0235
-1.3500	-0.0809	1.0842	1.0351	-0.0345
-1.3400	-0.0918	1.0961	1.0460	-0.0450
-1.3300	-0.1022	1.1076	1.0568	-0.0552
-1.3200	-0.1122	1.1187	1.0672	-0.0650
-1.3100	-0.1218	1.1295	1.0773	-0.0745
-1.3000	-0.1310	1.1399	1.0872	-0.0836
-1.2900	-0.1397	1.1500	1.0968	-0.0924
-1.2800	-0.1481	1.1596	1.1061	-0.1008
-1.2700	-0.1561	1.1689	1.1150	-0.1089
-1.2600	-0.1637	1.1778	1.1237	-0.1167
-1.2500	-0.1709	1.1864	1.1321	-0.1241
-1.2400	-0.1777	1.1945	1.1402	-0.1312
-1.2300	-0.1842	1.2023	1.1480	-0.1380
-1.2200	-0.1904	1.2097	1.1554	-0.1445
-1.2100	-0.1962	1.2167	1.1626	-0.1507
-1.2000	-0.2016	1.2234	1.1695	-0.1565
-1.1900	-0.2067	1.2296	1.1760	-0.1621
-1.1800	-0.2115	1.2355	1.1822	-0.1674
-1.1700	-0.2160	1.2411	1.1882	-0.1724
-1.1600	-0.2201	1.2463	1.1938	-0.1772
-1.1500	-0.2240	1.2511	1.1992	-0.1816
-1.1400	-0.2276	1.2555	1.2042	-0.1858
-1.1300	-0.2308	1.2596	1.2089	-0.1897
-1.1200	-0.2338	1.2634	1.2134	-0.1934
-1.1100	-0.2365	1.2668	1.2175	-0.1968
-1.1000	-0.2390	1.2699	1.2214	-0.2000
-1.0900	-0.2412	1.2727	1.2249	-0.2029
-1.0800	-0.2431	1.2752	1.2282	-0.2056
-1.0700	-0.2448	1.2773	1.2312	-0.2080
-1.0600	-0.2462	1.2791	1.2339	-0.2102
-1.0500	-0.2474	1.2807	1.2364	-0.2122
-1.0400	-0.2483	1.2819	1.2386	-0.2140
-1.0300	-0.2491	1.2828	1.2405	-0.2155
-1.0200	-0.2496	1.2835	1.2422	-0.2169
-1.0100	-0.2499	1.2839	1.2436	-0.2180
-1.0000	-0.2500	1.2840	1.2448	-0.2190
-0.9900	-0.2499	1.2839	1.2458	-0.2197
-0.9800	-0.2496	1.2835	1.2465	-0.2203
-0.9700	-0.2491	1.2829	1.2469	-0.2207
-0.9600	-0.2485	1.2821	1.2472	-0.2209
-0.9500	-0.2476	1.2810	1.2472	-0.2209
-0.9400	-0.2466	1.2797	1.2470	-0.2208
-0.9300	-0.2454	1.2782	1.2467	-0.2205
-0.9200	-0.2441	1.2765	1.2461	-0.2200
-0.9100	-0.2426	1.2746	1.2453	-0.2194
-0.9000	-0.2410	1.2725	1.2444	-0.2186
-0.8900	-0.2392	1.2702	1.2432	-0.2177
-0.8800	-0.2373	1.2678	1.2419	-0.2166
-0.8700	-0.2352	1.2652	1.2404	-0.2154
-0.8600	-0.2330	1.2624	1.2388	-0.2141
-0.8500	-0.2307	1.2595	1.2370	-0.2127
-0.8400	-0.2283	1.2565	1.2350	-0.2111
-0.8300	-0.2258	1.2533	1.2329	-0.2094
-0.8200	-0.2232	1.2500	1.2307	-0.2076
-0.8100	-0.2204	1.2466	1.2283	-0.2057
-0.8000	-0.2176	1.2431	1.2258	-0.2036
-0.7900	-0.2147	1.2395	1.2232	-0.2015
-0.7800	-0.2117	1.2357	1.2205	-0.1993
-0.7700	-0.2086	1.2319	1.2177	-0.1970
-0.7600	-0.2054	1.2280	1.2148	-0.1946
-0.7500	-0.2021	1.2240	1.2118	-0.1921
-0.7400	-0.1988	1.2200	1.2087	-0.1895
-0.7300	-0.1955	1.2159	1.2055	-0.1869
-0.7200	-0.1920	1.2117	1.2022	-0.1842
-0.7100	-0.1885	1.2075	1.1989	-0.1814
-0.7000	-0.1850	1.2032	1.1955	-0.1785
-0.6900	-0.1814	1.1989	1.1920	-0.1756
-0.6800	-0.1777	1.1945	1.1885	-0.1727
-0.6700	-0.1741	1.1901	1.1849	-0.1697
-0.6600	-0.1704	1.1857	1.1813	-0.1666
-0.6500	-0.1666	1.1813	1.1777	-0.1635
-0.6400	-0.1629	1.1769	1.1740	-0.1604
-0.6300	-0.1591	1.1724	1.1703	-0.1572
-0.6200	-0.1553	1.1680	1.1665	-0.1540
-0.6100	-0.1514	1.1635	1.1628	-0.1508
-0.6000	-0.1476	1.1590	1.1590	-0.1476
-0.5900	-0.1438	1.1546	1.1552	-0.1443
-0.5800	-0.1399	1.1502	1.1514	-0.1410
-0.5700	-0.1361	1.1458	1.1476	-0.1377
-0.5600	-0.1322	1.1414	1.1438	-0.1344
-0.5500	-0.1284	1.1370	1.1401	-0.1311
-0.5400	-0.1245	1.1326	1.1363	-0.1278
-0.5300	-0.1207	1.1283	1.1325	-0.1244
-0.5200	-0.1169	1.1240	1.1288	-0.1211
-0.5100	-0.1131	1.1198	1.1250	-0.1178
-0.5000	-0.1094	1.1156	1.1213	-0.1145
-0.4900	-0.1056	1.1114	1.1176	-0.1112
-0.4800	-0.1019	1.1073	1.1140	-0.1079
-0.4700	-0.0983	1.1032	1.1104	-0.1047
-0.4600	-0.0946	1.0992	1.1068	-0.1014
-0.4500	-0.0910	1.0953	1.1032	-0.0982
-0.4400	-0.0874	1.0914	1.0997	-0.0951
-0.4300	-0.0839	1.0875	1.0963	-0.0919
-0.4200	-0.0804	1.0837	1.0928	-0.0888
-0.4100	-0.0770	1.0800	1.0895	-0.0857
-0.4000	-0.0736	1.0764	1.0862	-0.0827
-0.3900	-0.0703	1.0728	1.0829	-0.0797
-0.3800	-0.0670	1.0693	1.0797	-0.0767
-0.3700	-0.0638	1.0658	1.0766	-0.0738
