X	Potential(X)	Exp(-Potential(X))	Convolved Exp(-Potential(X))	Potential from Convolved Density
-2.0000	-0.4000	1.4918	9.1482	-2.2136
-1.9900	-0.5560	1.7437	9.6131	-2.2631
-1.9800	-0.7081	2.0301	10.0864	-2.3112
-1.9700	-0.8562	2.3542	10.5675	-2.3578
-1.9600	-1.0005	2.7197	11.0557	-2.4029
-1.9500	-1.1410	3.1299	11.5502	-2.4467
-1.9400	-1.2777	3.5884	12.0505	-2.4891
-1.9300	-1.4107	4.0989	12.5557	-2.5302
-1.9200	-1.5401	4.6648	13.0652	-2.5700
-1.9100	-1.6658	5.2897	13.5782	-2.6085
-1.9000	-1.7879	5.9769	14.0940	-2.6458
-1.8900	-1.9065	6.7295	14.6119	-2.6818
-1.8800	-2.0216	7.5505	15.1312	-2.7168
-1.8700	-2.1333	8.4426	15.6512	-2.7505
-1.8600	-2.2416	9.4081	16.1711	-2.7832
-1.8500	-2.3465	10.4489	16.6903	-2.8148
-1.8400	-2.4481	11.5665	17.2080	-2.8454
-1.8300	-2.5465	12.7620	17.7237	-2.8749
-1.8200	-2.6416	14.0357	18.2367	-2.9034
-1.8100	-2.7336	15.3877	18.7464	-2.9310
-1.8000	-2.8224	16.8172	19.2521	-2.9576
-1.7900	-2.9081	18.3227	19.7533	-2.9833
-1.7800	-2.9908	19.9024	20.2495	-3.0081
-1.7700	-3.0705	21.5535	20.7400	-3.0321
-1.7600	-3.1473	23.2725	21.2243	-3.0551
-1.7500	-3.2211	25.0555	21.7020	-3.0774
-1.7400	-3.2920	26.8976	22.1727	-3.0989
-1.7300	-3.3601	28.7935	22.6357	-3.1195
-1.7200	-3.4255	30.7371	23.0908	-3.1394
-1.7100	-3.4880	32.7217	23.5375	-3.1586
-1.7000	-3.5479	34.7403	23.9754	-3.1770
-1.6900	-3.6051	36.7851	24.4042	-3.1948
-1.6800	-3.6597	38.8481	24.8235	-3.2118
-1.6700	-3.7116	40.9207	25.2330	-3.2282
-1.6600	-3.7611	42.9943	25.6324	-3.2439
-1.6500	-3.8080	45.0599	26.0215	-3.2589
-1.6400	-3.8525	47.1084	26.4000	-3.2734
-1.6300	-3.8945	49.1306	26.7676	-3.2872
-1.6200	-3.9341	51.1174	27.1241	-3.3004
-1.6100	-3.9714	53.0597	27.4694	-3.3131
-1.6000	-4.0064	54.9487	27.8032	-3.3252
-1.5900	-4.0391	56.7758	28.1254	-3.3367
-1.5800	-4.0696	58.5328	28.4358	-3.3477
-1.5700	-4.0979	60.2118	28.7343	-3.3581
-1.5600	-4.1240	61.8054	29.0208	-3.3680
-1.5500	-4.1480	63.3069	29.2951	-3.3774
-1.5400	-4.1699	64.7099	29.5572	-3.3863
-1.5300	-4.1898	66.0087	29.8069	-3.3947
-1.5200	-4.2077	67.1986	30.0443	-3.4027
