#Bandwidth	Average	        StandardDeviation
0.0	487.54830555555554	26.10063390020382
0.05	498.23241666666667	8.321914883836222
0.1	502.1982777777778	6.398657923618406
0.15	499.9331388888889	5.523174838718354
0.2	497.98755555555556	5.185217533660688
0.25	503.285	                4.529374543631079
0.3	500.42075	        4.355127459817372
0.35	495.3414722222222	4.250886678779755
0.4	506.0221388888889	4.170480748384438
0.45	500.0813888888889	3.8999599009433723
0.5	493.126	                4.07457245930555
0.55	507.4952222222222	4.351207084199968
0.6	499.8135555555556	4.0187226239621126
0.65	491.39033333333333	4.182325668306769
0.7	508.80530555555555	4.477941114804128
0.75	499.9890555555556	4.319601148135246
0.8	490.87452777777776	4.46557257530272
0.85	508.68944444444446	4.6347883511306485
0.9	500.3185	        4.952027086547112
0.95	491.40063888888886	4.887684281161251
1.0	509.8818888888889	5.2491992660481355
