#! FIELDS timestep dup_succ dup_attempts kill_succ kill_attempts
#! SET timestep 0.5
#! SET kernel_bandwidth [0.05 0.05]
#! SET kt 1.0
100 1 4 1 6
200 1 8 2 12
300 1 15 3 15
400 1 20 3 20
500 2 27 4 23
600 2 33 5 27
700 3 37 6 33
800 3 42 7 38
900 4 46 8 44
1000 5 51 9 49
1100 6 57 11 53
1200 7 62 14 58
1300 7 67 14 63
1400 7 73 14 67
1500 9 78 15 72
1600 10 82 17 78
1700 12 89 19 81
1800 13 94 21 86
1900 14 99 21 91
2000 15 106 21 94
2100 17 112 22 98
2200 18 117 23 103
2300 19 122 23 108
2400 19 127 24 113
