#! FIELDS timestep dup_succ dup_attempts kill_succ kill_attempts
#! SET timestep 0.5
#! SET kernel_bandwidth [0.05 0.05]
#! SET kt 1.0
100 1 4 1 6
200 1 8 2 12
300 1 15 3 15
400 1 20 3 20
500 2 27 4 23
600 2 33 5 27
700 3 37 6 33
800 3 42 7 38
900 4 46 8 44
1000 5 51 9 49
1100 6 57 11 53
1200 7 62 14 58
1300 7 67 14 63
1400 7 73 14 67
1500 9 78 15 72
1600 10 82 17 78
1700 12 89 19 81
1800 13 94 21 86
1900 14 99 21 91
2000 15 106 21 94
2100 17 112 22 98
2200 18 117 23 103
2300 19 122 23 108
2400 19 127 24 113
2500 20 131 24 119
2600 21 140 25 120
2700 22 146 27 124
2800 23 153 28 127
2900 23 158 29 132
3000 24 165 29 135
3100 25 169 30 141
3200 25 173 32 147
3300 25 177 32 153
3400 27 182 33 158
3500 27 187 34 163
3600 27 192 34 168
3700 29 199 35 171
3800 29 204 35 176
3900 29 210 35 180
4000 29 215 36 185
4100 29 220 37 190
4200 30 225 37 195
4300 31 231 38 199
4400 31 235 38 205
4500 31 241 39 209
4600 32 246 41 214
4700 33 252 41 218
4800 33 259 42 221
4900 35 265 44 225
5000 37 271 45 229
5100 39 276 46 234
5200 41 282 46 238
5300 42 287 47 243
5400 42 293 48 247
5500 43 300 50 250
5600 46 306 51 254
5700 47 313 52 257
5800 47 319 53 261
5900 48 325 54 265
6000 49 330 56 270
6100 50 335 56 275
6200 52 341 57 279
6300 54 347 57 283
6400 55 353 57 287
6500 57 359 58 291
6600 57 364 58 296
6700 57 370 59 300
6800 58 376 62 304
6900 60 383 62 307
7000 60 389 62 311
7100 61 397 63 313
7200 61 403 64 317
7300 63 408 65 322
7400 64 413 66 327
7500 64 418 67 332
7600 66 425 67 335
7700 66 430 69 340
7800 67 434 70 346
7900 68 440 71 350
8000 70 444 71 356
8100 72 450 71 360
8200 73 456 71 364
8300 73 463 72 367
8400 73 469 73 371
8500 74 475 73 375
8600 76 482 74 378
8700 76 487 75 383
8800 76 491 76 389
8900 76 499 77 391
9000 78 506 78 394
9100 78 510 78 400
9200 78 515 78 405
9300 78 522 79 408
9400 81 528 80 412
9500 81 533 80 417
9600 82 539 82 421
9700 84 546 83 424
9800 84 550 83 430
9900 85 557 83 433
10000 86 562 83 438
10100 87 570 84 440
10200 88 575 84 445
10300 88 582 84 448
10400 88 586 84 454
10500 88 592 84 458
10600 88 598 85 462
10700 88 603 87 467
10800 88 606 87 474
10900 89 610 87 480
11000 89 616 89 484
11100 89 622 90 488
11200 90 629 91 491
11300 90 635 91 495
11400 91 642 92 498
11500 92 647 93 503
11600 95 655 95 505
11700 96 659 95 511
11800 98 665 95 515
11900 99 671 95 519
12000 101 674 96 526
12100 102 679 97 531
12200 103 684 98 536
12300 105 687 98 543
12400 106 694 99 546
12500 108 701 100 549
12600 109 707 102 553
12700 111 713 103 557
12800 112 720 104 560
12900 112 728 105 562
13000 114 735 107 565
13100 114 741 109 569
13200 116 749 109 571
13300 117 754 111 576
13400 118 761 111 579
13500 119 765 112 585
13600 120 771 112 589
13700 120 777 112 593
13800 121 781 113 599
13900 122 788 115 602
14000 123 793 115 607
14100 123 797 116 613
14200 124 802 117 618
14300 124 805 117 625
14400 125 811 118 629
14500 126 815 120 635
14600 126 821 121 639
14700 126 826 122 644
14800 127 832 123 648
14900 128 837 123 653
15000 128 843 124 657
15100 129 848 124 662
15200 129 853 126 667
15300 130 859 127 671
15400 132 864 128 676
15500 132 870 129 680
15600 132 877 129 683
15700 132 881 130 689
15800 133 886 131 694
15900 135 894 132 696
16000 137 900 133 700
16100 137 906 135 704
16200 140 911 135 709
16300 141 916 136 714
16400 142 921 136 719
16500 142 925 137 725
16600 143 930 137 730
16700 144 935 138 735
16800 145 941 141 739
16900 146 947 141 743
17000 148 953 141 747
17100 148 958 141 752
17200 148 964 142 756
17300 150 969 143 761
17400 150 973 143 767
17500 150 977 145 773
17600 150 981 146 779
17700 151 986 146 784
17800 151 991 146 789
17900 153 997 147 793
18000 154 1005 148 795
18100 154 1011 149 799
18200 154 1018 151 802
18300 154 1024 151 806
18400 155 1030 151 810
18500 155 1036 151 814
18600 156 1040 151 820
18700 156 1045 151 825
18800 158 1050 151 830
18900 158 1056 152 834
19000 160 1063 154 837
19100 161 1069 155 841
19200 163 1077 157 843
19300 165 1080 157 850
19400 165 1087 158 853
19500 165 1093 159 857
19600 165 1100 160 860
19700 165 1103 161 867
19800 165 1106 161 874
19900 165 1111 163 879
20000 165 1115 163 885
20100 166 1121 165 889
20200 166 1127 167 893
20300 167 1133 168 897
20400 167 1140 169 900
20500 167 1146 170 904
20600 168 1150 171 910
20700 168 1155 171 915
20800 171 1162 173 918
20900 172 1167 173 923
21000 173 1172 173 928
21100 175 1177 174 933
21200 176 1182 176 938
21300 177 1187 176 943
21400 177 1192 176 948
21500 178 1197 176 953
21600 179 1203 177 957
21700 182 1209 177 961
21800 183 1212 177 968
21900 184 1217 178 973
22000 185 1223 178 977
22100 187 1228 181 982
22200 189 1236 182 984
22300 189 1241 182 989
22400 190 1246 183 994
22500 192 1252 184 998
22600 192 1257 187 1003
22700 193 1263 189 1007
22800 194 1271 190 1009
22900 194 1276 191 1014
23000 195 1283 191 1017
23100 196 1288 193 1022
23200 196 1293 194 1027
23300 197 1299 194 1031
23400 199 1305 195 1035
23500 200 1313 195 1037
23600 200 1319 196 1041
23700 200 1325 197 1045
23800 201 1330 198 1050
23900 202 1335 198 1055
24000 203 1341 200 1059
24100 203 1347 200 1063
24200 204 1352 202 1068
24300 204 1359 203 1071
24400 204 1364 204 1076
24500 205 1370 204 1080
24600 205 1376 204 1084
24700 205 1382 205 1088
24800 207 1387 207 1093
24900 208 1392 207 1098
25000 210 1396 207 1104
25100 212 1403 207 1107
25200 212 1409 208 1111
25300 213 1417 209 1113
25400 214 1422 210 1118
25500 217 1429 210 1121
25600 218 1433 210 1127
25700 218 1440 211 1130
25800 219 1446 212 1134
25900 219 1452 213 1138
26000 221 1457 213 1143
26100 221 1463 214 1147
26200 222 1468 214 1152
26300 225 1474 215 1156
26400 227 1480 215 1160
26500 227 1486 217 1164
26600 229 1493 218 1167
26700 229 1499 218 1171
26800 231 1507 220 1173
26900 232 1514 220 1176
27000 233 1519 221 1181
27100 233 1525 222 1185
27200 234 1530 222 1190
27300 235 1536 223 1194
27400 236 1542 224 1198
27500 237 1547 225 1203
27600 238 1551 227 1209
27700 239 1557 229 1213
27800 239 1563 232 1217
27900 240 1569 233 1221
28000 241 1574 233 1226
28100 241 1580 234 1230
28200 242 1586 234 1234
28300 243 1590 234 1240
28400 244 1595 234 1245
28500 244 1600 235 1250
28600 244 1604 235 1256
28700 244 1608 236 1262
28800 245 1615 236 1265
28900 246 1622 237 1268
29000 247 1628 238 1272
29100 247 1633 240 1277
29200 248 1637 241 1283
29300 248 1642 242 1288
29400 249 1647 244 1293
29500 249 1654 244 1296
29600 250 1661 244 1299
29700 251 1667 245 1303
29800 252 1673 247 1307
29900 253 1679 248 1311
30000 255 1684 249 1316
30100 258 1690 250 1320
30200 258 1695 251 1325
30300 258 1699 252 1331
30400 261 1704 254 1336
30500 262 1709 256 1341
30600 262 1715 257 1345
30700 262 1721 259 1349
30800 263 1726 259 1354
30900 263 1732 259 1358
31000 263 1738 260 1362
31100 265 1746 260 1364
31200 267 1752 261 1368
31300 268 1757 263 1373
31400 268 1762 264 1378
31500 268 1767 266 1383
31600 268 1772 266 1388
31700 270 1779 268 1391
31800 271 1783 269 1397
31900 271 1789 271 1401
32000 271 1794 273 1406
32100 272 1800 273 1410
32200 273 1803 273 1417
32300 275 1808 273 1422
32400 277 1815 274 1425
32500 279 1820 275 1430
32600 279 1824 277 1436
32700 280 1830 277 1440
