#Bandwidth	Average	       StandardDeviation
0.0	499.7270833333333	16.690632911054706
0.05	500.1123333333333	12.147840793550223
0.1	500.7926111111111	9.357829763141059
0.15	499.7431388888889	7.833661644822584
0.2	499.2862777777778	6.992028218066995
0.25	499.72866666666664	6.479839684921788
0.3	500.0760833333333	6.054009825417289
0.35	500.71233333333333	6.09745416580492
0.4	500.30727777777776	5.798602602290298
0.45	499.0865	        5.701571778711424
0.5	499.2525	        5.751458400251699
0.55	499.71366666666665	5.71545454209856
0.6	500.241	                5.681425296998313
0.65	500.39116666666666	5.445592625333305
0.7	500.99663888888887	5.557636089762899
0.75	498.78552777777776	5.698088198347609
0.8	499.12772222222225	5.626925338423646
0.85	499.39958333333334	5.822716285222279
0.9	499.9136111111111	5.721256814467072
0.95	500.4646666666667	5.826832110476412
1.0	500.8790833333333	6.103841929101101
