#Bandwidth	Average	       StandardDeviation
#0.0	499.7270833333333	16.690632911054706
0.0	364.5523611111111	83.0965596856949
0.05	500.1123333333333	12.147840793550223
0.1	500.7926111111111	9.357829763141059
0.15	500.2943333333333	4.755727134906167
0.2	500.47105555555555	3.8460897613873204
0.25	500.3126111111111	3.3495733318549568
0.3	500.0814722222222	2.9748337563640064
0.35	499.97513888888886	2.7346756244587893
0.4	499.95455555555554	2.504928073670996
0.45	500.05161111111113	2.3007812691803684
0.5	500.0014444444444	2.1263586917164723
0.55	500.01455555555555	2.0303290313864606
0.6	500.0788333333333	1.889207947693877
0.65	500.112	                1.8168938474407732
0.7	500.32841666666667	1.7443653140608422
0.75	499.5206944444444	1.83915715250462
0.8	499.59173789173786	2.3873873247736137
0.85	499.7344444444444	1.7660565600973381
0.9	500.04013888888886	1.7863851649934575
0.95	500.4193055555556	1.70906491279885
1.0	500.8786388888889	1.8347580800473688
