#Bandwidth	Average	StandardDeviation
#0.0	499.7270833333333	16.690632911054706
0.0	494.28266666666667	23.099665208331928
0.05	500.1123333333333	12.147840793550223
0.1	500.7926111111111	9.357829763141059
0.15	500.1074722222222	5.755302659965297
0.2	499.8850277777778	5.227838039080318
0.25	500.13616666666667	4.607125328721789
0.3	500.09527777777777	4.33832410768095
0.35	499.81225	        4.117944994576847
0.4	499.99325	        3.8220920977696813
0.45	499.9468888888889	3.449622972370423
0.5	499.81325	        3.467481888043076
0.55	499.72936111111113	3.3838407488293574
0.6	499.90538888888887	3.3548679792484375
0.65	500.2329722222222	3.291959476299015
0.7	500.4147777777778	3.061471645171723
0.75	498.91269444444447	3.2587114777989257
0.8	499.41527777777776	3.3296758432626383
0.85	499.6003888888889	3.276379816285449
0.9	500.12716666666665	3.414517575857678
0.95	500.39605555555556	3.364794701233933
1.0	500.86452777777777	3.401641242495896
