#Bandwidth	Average	     StandardDeviation
0.0	496.7010833333333	16.17832920923508
0.05	500.61269444444446	12.057846903700465
0.1	500.76941666666664	9.002715603636
0.15	499.12572222222224	7.690672791819923
0.2	499.9915555555556	6.80656089160398
0.25	499.8638888888889	6.313400462906395
0.3	499.53380555555555	6.267615490321887
0.35	499.99466666666666	6.026315652758019
0.4	500.71077777777776	5.721429874170994
0.45	498.9846944444445	5.920298454781281
0.5	499.5456388888889	5.566082795186192
0.55	499.6182777777778	5.405330678603729
0.6	500.1406666666667	5.518469286312967
0.65	500.1156388888889	5.515709933054909
0.7	500.86	                5.6530629778147485
0.75	498.79977777777776	5.629689382650914
0.8	499.11941666666667	5.695973411745225
0.85	499.437	                5.508829940315294
0.9	500.21775	        5.702408300228224
0.95	500.7582777777778	5.81357207757685
1.0	500.7129166666667	5.870870796837916
