#! FIELDS timestep dup_succ dup_attempts kill_succ kill_attempts
#! SET timestep 0.5
#! SET kernel_bandwidth [1. 1.]
#! SET kt 1.0
100 48 185 61 815
200 105 444 130 1556
300 175 758 203 2242
400 236 1164 269 2836
500 283 1644 332 3356
600 318 2203 355 3797
700 334 2726 377 4274
800 351 3236 399 4764
900 379 3694 415 5306
1000 391 4139 428 5861
1100 399 4616 445 6384
1200 406 5148 457 6852
1300 410 5617 459 7383
1400 417 6107 469 7893
1500 426 6640 471 8360
1600 431 7169 479 8831
1700 433 7716 481 9284
1800 434 8270 484 9730
1900 437 8829 492 10171
2000 439 9550 494 10450
2100 441 10124 497 10876
2200 445 10627 498 11373
2300 448 11144 503 11856
2400 449 11600 507 12400
2500 451 12108 510 12892
2600 456 12612 512 13388
2700 461 13063 515 13937
2800 463 13523 520 14477
2900 466 14012 523 14988
3000 470 14674 524 15326
3100 473 15197 528 15803
3200 474 15721 531 16279
3300 475 16230 532 16770
3400 476 16786 536 17214
3500 478 17433 539 17567
3600 481 17840 540 18160
3700 485 18332 542 18668
3800 486 18855 546 19145
3900 488 19337 547 19663
4000 488 19785 548 20215
4100 492 20202 556 20798
4200 493 20710 558 21290
4300 498 21232 559 21768
4400 500 21774 560 22226
4500 503 22362 563 22638
4600 505 22897 564 23103
4700 505 23360 567 23640
4800 506 23762 570 24238
4900 510 24328 572 24672
5000 512 24868 572 25132
5100 516 25416 576 25584
5200 516 25933 577 26067
5300 516 26532 577 26468
5400 520 27057 577 26943
5500 523 27626 580 27374
5600 525 27992 584 28008
5700 527 28332 589 28668
5800 532 28657 592 29343
5900 533 29092 595 29908
6000 536 29673 596 30327
6100 537 30273 600 30727
6200 539 30962 604 31038
6300 541 31376 611 31624
6400 545 31812 613 32188
6500 551 32383 621 32617
6600 555 32938 627 33062
6700 561 33536 635 33464
6800 568 34190 635 33810
6900 571 34749 640 34251
7000 575 35138 642 34862
7100 576 35563 645 35437
7200 578 36199 645 35801
7300 580 36686 647 36314
7400 584 37172 650 36828
7500 584 37683 653 37317
7600 586 38207 655 37793
7700 586 38654 656 38346
7800 589 39126 657 38874
7900 593 39793 658 39207
8000 594 40213 661 39787
8100 599 40718 664 40282
8200 599 41221 665 40779
8300 600 41774 665 41226
8400 603 42236 667 41764
8500 604 42675 669 42325
8600 609 43112 671 42888
8700 611 43673 672 43327
8800 613 44133 673 43867
8900 615 44643 674 44357
9000 619 45139 674 44861
9100 621 45606 675 45394
9200 622 46070 678 45930
9300 625 46585 680 46415
9400 628 47196 680 46804
9500 630 47765 682 47235
9600 631 48310 687 47690
9700 634 48912 689 48088
9800 637 49398 691 48602
9900 639 49914 693 49086
10000 644 50403 696 49597
10100 649 50972 701 50028
10200 652 51581 702 50419
10300 654 52043 706 50957
10400 658 52418 709 51582
10500 663 52976 717 52024
10600 666 53496 717 52504
10700 671 53969 718 53031
10800 672 54356 721 53644
10900 674 54915 723 54085
11000 677 55377 728 54623
11100 678 55869 728 55131
11200 680 56341 731 55659
11300 680 56891 734 56109
11400 680 57411 734 56589
11500 682 57832 736 57168
11600 688 58332 738 57668
11700 692 58823 741 58177
11800 694 59267 743 58733
11900 696 59838 744 59162
12000 698 60392 745 59608
12100 704 60910 750 60090
12200 711 61406 756 60594
12300 716 61918 758 61082
12400 724 62502 763 61498
12500 727 63061 764 61939
12600 728 63664 765 62336
12700 729 64224 768 62776
12800 731 64750 768 63250
12900 733 65122 768 63878
13000 736 65605 771 64395
13100 739 66067 771 64933
13200 742 66530 773 65470
13300 742 67032 773 65968
13400 742 67515 781 66485
13500 742 68001 784 66999
13600 743 68543 787 67457
13700 748 69121 792 67879
13800 749 69575 798 68425
13900 750 70044 799 68956
14000 751 70529 799 69471
14100 756 71034 802 69966
14200 758 71564 804 70436
14300 763 72161 808 70839
14400 765 72743 811 71257
14500 766 73276 813 71724
14600 772 73880 821 72120
14700 774 74425 825 72575
14800 779 74944 827 73056
14900 779 75454 829 73546
15000 783 76088 830 73912
15100 790 76639 831 74361
15200 792 77316 838 74684
15300 796 77822 838 75178
15400 801 78348 840 75652
15500 807 78783 842 76217
15600 807 79240 842 76760
15700 814 79856 843 77144
15800 818 80384 848 77616
15900 821 80900 851 78100
16000 822 81362 854 78638
16100 826 81862 855 79138
16200 827 82303 857 79697
16300 829 82923 858 80077
16400 831 83427 864 80573
16500 832 83986 865 81014
16600 834 84652 866 81348
16700 834 85242 867 81758
16800 834 85812 868 82188
16900 838 86395 868 82605
17000 839 86955 872 83045
17100 842 87440 874 83560
17200 843 87930 876 84070
17300 846 88478 877 84522
17400 848 88917 879 85083
17500 849 89603 886 85397
17600 852 90168 888 85832
17700 855 90776 890 86224
17800 856 91257 890 86743
17900 858 91749 890 87251
18000 860 92189 892 87811
18100 863 92686 894 88314
18200 863 93190 895 88810
18300 865 93775 896 89225
18400 865 94305 896 89695
18500 869 94867 899 90133
18600 872 95334 902 90666
18700 873 95762 908 91238
18800 877 96161 913 91839
18900 881 96567 917 92433
19000 881 97061 917 92939
19100 883 97510 917 93490
19200 885 97967 918 94033
19300 885 98336 918 94664
19400 888 98951 921 95049
19500 893 99558 923 95442
19600 898 100049 924 95951
19700 899 100518 926 96482
19800 900 101071 930 96929
19900 903 101647 930 97353
20000 904 101925 933 98075
20100 905 102270 938 98730
20200 906 102719 940 99281
20300 912 103155 943 99845
20400 917 103745 944 100255
20500 919 104240 946 100760
20600 922 104653 949 101347
20700 924 105094 955 101906
20800 927 105446 959 102554
20900 930 105822 961 103178
21000 930 106248 963 103752
21100 933 106658 968 104342
21200 934 107029 970 104971
21300 938 107437 976 105563
21400 940 107812 978 106188
21500 942 108347 978 106653
