#! FIELDS timestep dup_succ dup_attempts kill_succ kill_attempts
#! SET timestep 0.5
#! SET kernel_bandwidth [0.65 0.65]
#! SET kt 1.0
100 58 168 79 832
200 129 426 176 1574
300 214 748 274 2252
400 290 1176 371 2824
500 355 1695 441 3305
600 399 2255 492 3745
700 421 2722 518 4278
800 447 3122 547 4878
900 469 3508 563 5492
1000 490 3904 575 6096
1100 502 4372 582 6628
1200 507 4890 587 7110
1300 511 5400 590 7600
1400 517 5976 600 8024
1500 527 6520 606 8480
1600 530 7058 612 8942
1700 534 7596 615 9404
1800 536 8144 619 9856
1900 544 8717 623 10283
2000 546 9273 627 10727
2100 549 9715 633 11285
2200 557 10197 638 11803
2300 562 10731 648 12269
2400 564 11146 650 12854
2500 568 11644 656 13356
2600 572 12127 660 13873
2700 575 12673 666 14327
2800 580 13140 671 14860
2900 582 13635 673 15365
3000 589 14085 679 15915
3100 592 14554 683 16446
3200 597 14990 689 17010
3300 600 15605 691 17395
3400 605 16171 699 17829
3500 609 16684 704 18316
3600 615 17090 708 18910
3700 625 17566 711 19434
3800 632 18017 714 19983
3900 636 18633 714 20367
4000 638 19061 720 20939
4100 641 19470 728 21530
4200 647 20006 729 21994
4300 650 20483 729 22517
4400 653 21035 731 22965
4500 658 21509 736 23491
4600 661 21936 746 24064
4700 664 22557 746 24443
4800 672 23162 751 24838
4900 677 23752 753 25248
5000 687 24219 755 25781
5100 690 24774 762 26226
5200 692 25161 765 26839
5300 697 25676 768 27324
5400 702 26080 773 27920
5500 704 26505 776 28495
5600 710 27027 780 28973
5700 717 27466 787 29534
5800 723 27913 793 30087
5900 731 28469 796 30531
6000 737 29041 801 30959
6100 741 29597 806 31403
6200 746 30128 813 31872
6300 752 30517 820 32483
6400 755 31054 826 32946
6500 765 31612 829 33388
6600 769 32162 833 33838
6700 776 32640 841 34360
6800 784 33170 848 34830
6900 793 33651 851 35349
7000 796 34114 853 35886
7100 805 34578 857 36422
7200 806 35143 861 36857
7300 811 35689 867 37311
7400 812 36116 872 37884
7500 814 36615 876 38385
7600 815 37050 877 38950
7700 819 37660 878 39340
7800 820 38084 882 39916
7900 831 38584 883 40416
8000 837 39102 894 40898
8100 847 39470 897 41530
8200 854 40014 900 41986
8300 862 40455 909 42545
8400 866 40941 912 43059
8500 873 41365 918 43635
8600 875 41950 920 44050
8700 879 42485 923 44515
8800 883 42986 927 45014
8900 890 43445 930 45555
9000 892 43961 931 46039
9100 896 44461 937 46539
9200 899 44909 939 47091
9300 904 45414 943 47586
9400 912 45912 948 48088
9500 915 46377 956 48623
9600 916 46879 961 49121
9700 928 47339 965 49661
9800 933 47914 966 50086
9900 936 48439 971 50561
10000 943 48956 977 51044
10100 947 49470 985 51530
10200 950 49948 991 52052
10300 953 50464 1000 52536
10400 957 51032 1007 52968
10500 961 51567 1008 53433
10600 966 52059 1016 53941
