#! FIELDS timestep dup_succ dup_attempts kill_succ kill_attempts
#! SET timestep 0.1
#! SET kernel_bandwidth [0.05 0.05]
#! SET kt 1.0
100 0 4 0 6
200 1 8 0 12
300 1 14 0 16
400 1 18 0 22
500 1 23 2 27
600 1 28 3 32
700 1 31 3 39
800 2 36 4 44
900 3 42 5 48
1000 3 48 7 52
1100 3 53 7 57
1200 4 58 7 62
1300 5 63 8 67
1400 5 68 8 72
1500 5 73 8 77
1600 6 78 8 82
1700 7 84 9 86
1800 7 90 10 90
1900 9 96 11 94
2000 10 101 11 99
2100 10 108 11 102
2200 10 113 13 107
2300 10 121 13 109
2400 11 125 13 115
2500 12 132 13 118
2600 12 139 13 121
2700 12 142 13 128
2800 12 148 13 132
2900 12 155 14 135
3000 12 159 14 141
3100 13 166 14 144
3200 13 172 15 148
3300 13 176 15 154
3400 13 181 15 159
3500 13 188 15 162
3600 13 195 15 165
3700 14 202 17 168
3800 14 206 17 174
3900 14 210 17 180
4000 14 215 17 185
4100 14 221 17 189
4200 14 226 17 194
4300 14 230 17 200
4400 14 233 17 207
4500 14 237 17 213
4600 14 243 17 217
4700 14 249 17 221
4800 14 253 17 227
4900 15 258 17 232
5000 15 263 17 237
5100 15 268 17 242
5200 15 275 18 245
5300 15 280 19 250
5400 15 286 19 254
5500 15 291 19 259
5600 15 297 19 263
5700 15 303 19 267
5800 15 309 19 271
5900 15 316 20 274
6000 15 321 20 279
6100 15 325 20 285
6200 15 330 20 290
6300 15 334 20 296
6400 15 337 20 303
6500 15 341 20 309
6600 15 345 20 315
6700 15 349 20 321
6800 16 353 20 327
6900 16 357 20 333
7000 16 361 20 339
7100 16 366 20 344
7200 16 373 20 347
7300 16 380 20 350
7400 17 384 20 356
7500 17 389 21 361
7600 17 392 22 368
7700 17 396 22 374
7800 17 401 22 379
7900 17 407 22 383
8000 17 413 22 387
8100 17 418 22 392
8200 18 425 22 395
8300 18 429 22 401
8400 19 436 22 404
8500 20 440 22 410
8600 22 447 22 413
8700 22 450 22 420
8800 23 457 22 423
8900 23 462 23 428
9000 23 466 23 434
9100 23 472 23 438
9200 24 480 23 440
9300 24 484 23 446
9400 24 489 23 451
9500 24 495 23 455
9600 24 499 23 461
9700 24 505 23 465
9800 24 511 23 469
9900 24 515 23 475
10000 24 520 24 480
10100 24 524 24 486
10200 24 529 24 491
10300 24 534 24 496
10400 24 539 24 501
10500 24 543 24 507
10600 24 548 24 512
10700 24 553 25 517
10800 24 559 25 521
10900 24 565 25 525
11000 24 569 25 531
11100 24 575 25 535
11200 25 583 25 537
11300 26 592 25 538
11400 26 597 25 543
11500 26 600 25 550
11600 26 606 25 554
11700 26 611 25 559
11800 26 618 25 562
11900 26 623 25 567
12000 26 629 25 571
12100 26 636 26 574
12200 26 642 26 578
12300 27 649 26 581
12400 27 654 26 586
12500 27 659 26 591
12600 27 664 26 596
12700 27 668 26 602
12800 27 671 26 609
12900 27 675 26 615
13000 27 681 26 619
13100 27 685 26 625
13200 27 689 26 631
13300 27 693 26 637
13400 27 698 26 642
13500 27 704 26 646
13600 27 709 26 651
13700 27 712 26 658
13800 28 717 26 663
13900 28 723 26 667
14000 30 729 27 671
14100 30 733 28 677
14200 30 739 28 681
14300 30 745 30 685
14400 30 750 30 690
14500 30 758 30 692
14600 30 762 30 698
14700 30 766 30 704
14800 30 772 30 708
14900 31 776 30 714
15000 31 782 30 718
15100 31 788 30 722
15200 32 794 30 726
15300 33 798 30 732
15400 33 804 30 736
15500 33 810 30 740
15600 33 814 30 746
15700 33 820 30 750
15800 33 824 30 756
15900 33 828 31 762
16000 33 832 31 768
16100 33 836 31 774
16200 33 840 31 780
16300 33 845 31 785
16400 33 851 31 789
16500 33 857 32 793
16600 33 861 32 799
16700 33 866 32 804
16800 34 870 33 810
16900 34 875 34 815
17000 34 880 34 820
17100 35 885 34 825
17200 35 888 34 832
17300 35 895 34 835
17400 35 899 35 841
17500 35 903 35 847
17600 35 910 35 850
17700 35 915 36 855
17800 35 919 36 861
17900 35 925 36 865
18000 36 929 36 871
18100 37 934 38 876
18200 38 939 38 881
18300 38 945 38 885
18400 38 950 38 890
18500 39 956 38 894
18600 39 961 38 899
18700 39 967 39 903
18800 40 973 39 907
18900 40 979 39 911
19000 40 986 39 914
19100 40 992 39 918
19200 40 997 39 923
19300 40 1003 39 927
19400 40 1010 40 930
19500 41 1017 40 933
19600 41 1024 40 936
19700 41 1028 41 942
19800 41 1033 41 947
19900 41 1037 41 953
20000 41 1042 41 958
20100 41 1046 41 964
20200 41 1050 41 970
20300 41 1053 42 977
20400 41 1057 42 983
20500 41 1061 42 989
20600 41 1067 42 993
20700 41 1073 43 997
20800 41 1077 43 1003
20900 41 1081 44 1009
21000 41 1085 44 1015
21100 41 1091 44 1019
21200 41 1097 44 1023
21300 42 1101 45 1029
21400 42 1104 45 1036
21500 42 1111 45 1039
21600 42 1114 45 1046
21700 42 1120 45 1050
21800 42 1125 45 1055
21900 42 1128 45 1062
22000 42 1135 47 1065
22100 42 1139 47 1071
22200 42 1144 48 1076
22300 42 1148 48 1082
22400 42 1153 48 1087
22500 42 1157 48 1093
22600 42 1163 48 1097
22700 42 1169 48 1101
22800 42 1174 48 1106
22900 42 1179 49 1111
23000 42 1186 49 1114
23100 42 1193 49 1117
23200 42 1199 49 1121
23300 42 1205 50 1125
23400 42 1210 50 1130
23500 43 1216 51 1134
23600 43 1222 51 1138
23700 43 1228 51 1142
23800 43 1235 51 1145
23900 44 1242 51 1148
24000 44 1248 52 1152
24100 44 1252 52 1158
24200 45 1259 52 1161
24300 45 1267 52 1163
24400 45 1272 53 1168
24500 46 1278 53 1172
24600 46 1284 54 1176
24700 46 1289 54 1181
24800 46 1294 54 1186
24900 47 1301 54 1189
25000 47 1307 55 1193
25100 47 1314 55 1196
25200 47 1322 55 1198
25300 47 1327 56 1203
25400 47 1332 56 1208
25500 48 1338 56 1212
25600 48 1341 56 1219
25700 48 1347 56 1223
25800 48 1351 56 1229
25900 48 1357 56 1233
26000 48 1362 56 1238
26100 48 1367 56 1243
26200 48 1373 56 1247
26300 48 1378 56 1252
26400 48 1382 56 1258
26500 48 1387 56 1263
26600 48 1391 56 1269
26700 48 1396 56 1274
26800 48 1402 57 1278
26900 48 1407 57 1283
27000 48 1412 57 1288
27100 48 1417 57 1293
27200 49 1422 57 1298
27300 49 1425 57 1305
27400 51 1430 57 1310
27500 51 1433 57 1317
27600 51 1438 57 1322
27700 51 1443 58 1327
27800 52 1448 58 1332
27900 52 1452 58 1338
28000 52 1456 58 1344
28100 52 1460 59 1350
28200 52 1464 59 1356
28300 53 1470 59 1360
28400 53 1475 59 1365
28500 53 1480 60 1370
28600 53 1485 60 1375
28700 53 1490 60 1380
28800 53 1496 60 1384
28900 53 1503 60 1387
