#! FIELDS timestep dup_succ dup_attempts kill_succ kill_attempts
#! SET timestep 0.5
#! SET kernel_bandwidth [1. 1.]
#! SET kt 1.0
100 7 12 9 88
200 13 29 20 171
300 21 50 29 250
400 25 83 37 317
500 32 121 41 379
600 33 169 44 431
700 36 218 49 482
800 36 264 51 536
900 40 315 53 585
1000 40 359 53 641
1100 40 406 54 694
1200 40 458 55 742
1300 42 509 55 791
1400 45 552 57 848
1500 45 594 58 906
1600 45 635 58 965
1700 46 672 60 1028
1800 48 714 62 1086
1900 49 757 62 1143
2000 49 800 62 1200
2100 51 838 63 1262
2200 52 871 65 1329
2300 54 907 69 1393
2400 57 946 73 1454
2500 60 968 78 1532
2600 63 1011 82 1589
2700 67 1053 86 1647
2800 69 1086 87 1714
2900 70 1126 91 1774
3000 70 1165 91 1835
3100 72 1213 91 1887
3200 73 1254 93 1946
3300 74 1303 95 1997
3400 75 1356 96 2044
3500 75 1414 98 2086
3600 75 1467 100 2133
3700 76 1527 100 2173
3800 77 1580 100 2220
3900 77 1647 100 2253
4000 79 1711 101 2289
4100 84 1764 102 2336
4200 85 1806 104 2394
4300 85 1853 105 2447
4400 85 1910 106 2490
4500 85 1965 106 2535
4600 85 2026 106 2574
4700 85 2058 107 2642
4800 85 2110 107 2690
4900 85 2164 108 2736
5000 85 2222 108 2778
5100 86 2272 110 2828
5200 88 2324 110 2876
5300 88 2370 111 2930
5400 89 2425 114 2975
5500 89 2464 115 3036
5600 90 2506 116 3094
5700 90 2545 116 3155
5800 91 2600 116 3200
5900 93 2659 116 3241
6000 93 2725 116 3275
6100 94 2764 118 3336
6200 94 2797 118 3403
6300 95 2834 119 3466
6400 96 2857 119 3543
6500 96 2884 120 3616
6600 99 2909 120 3691
6700 100 2924 122 3776
6800 101 2959 127 3841
6900 103 2978 129 3922
7000 106 2989 130 4011
7100 110 3000 132 4100
7200 113 3020 133 4180
7300 115 3046 140 4254
7400 118 3089 142 4311
7500 118 3134 142 4366
7600 121 3179 142 4421
7700 123 3217 144 4483
7800 123 3265 144 4535
7900 124 3313 145 4587
8000 124 3347 145 4653
8100 124 3397 146 4703
8200 125 3446 147 4754
8300 125 3470 147 4830
8400 127 3496 148 4904
8500 127 3547 148 4953
8600 128 3595 148 5005
8700 129 3626 149 5074
8800 129 3678 150 5122
8900 130 3734 150 5166
9000 131 3757 151 5243
9100 131 3799 151 5301
9200 131 3845 151 5355
9300 131 3900 152 5400
9400 132 3966 152 5434
9500 132 4012 152 5488
9600 134 4061 153 5539
9700 135 4110 153 5590
9800 136 4158 154 5642
9900 136 4205 154 5695
10000 136 4265 154 5735
10100 136 4314 155 5786
10200 137 4340 155 5860
10300 137 4368 155 5932
10400 137 4417 158 5983
10500 138 4442 159 6058
10600 138 4499 161 6101
10700 138 4541 161 6159
10800 138 4576 161 6224
10900 138 4609 161 6291
11000 138 4655 161 6345
11100 138 4684 161 6416
11200 139 4731 161 6469
11300 139 4787 161 6513
11400 140 4846 161 6554
11500 140 4900 162 6600
11600 140 4963 162 6637
11700 140 4998 163 6702
11800 140 5057 163 6743
11900 140 5113 163 6787
12000 140 5171 163 6829
12100 140 5223 164 6877
12200 141 5284 165 6916
12300 142 5348 166 6952
12400 142 5421 168 6979
12500 142 5468 169 7032
12600 142 5501 170 7099
12700 143 5550 170 7150
12800 143 5607 170 7193
12900 143 5655 170 7245
13000 144 5706 170 7294
13100 144 5756 171 7344
13200 145 5820 171 7380
13300 146 5867 171 7433
13400 147 5921 171 7479
13500 148 5976 171 7524
13600 148 6028 171 7572
13700 149 6098 171 7602
13800 149 6132 171 7668
13900 149 6174 171 7726
14000 150 6198 171 7802
14100 150 6233 171 7867
14200 151 6259 172 7941
14300 151 6331 172 7969
14400 152 6380 173 8020
14500 153 6423 175 8077
14600 153 6472 176 8128
14700 153 6526 178 8174
14800 153 6577 178 8223
14900 153 6602 179 8298
15000 154 6635 180 8365
15100 154 6709 180 8391
15200 156 6767 180 8433
15300 157 6810 181 8490
15400 157 6859 182 8541
15500 157 6904 186 8596
15600 159 6951 186 8649
15700 159 6999 188 8701
15800 159 7031 188 8769
15900 159 7055 188 8845
16000 159 7102 188 8898
16100 159 7146 188 8954
16200 159 7203 188 8997
16300 159 7252 188 9048
16400 160 7305 189 9095
16500 160 7377 189 9123
16600 160 7431 191 9169
16700 162 7482 192 9218
16800 166 7534 192 9266
16900 166 7590 192 9310
17000 166 7639 192 9361
17100 166 7697 192 9403
17200 166 7743 193 9457
17300 166 7793 194 9507
17400 166 7844 194 9556
17500 166 7906 194 9594
17600 167 7968 194 9632
17700 167 8015 194 9685
17800 167 8041 195 9759
17900 167 8092 195 9808
18000 167 8130 195 9870
18100 167 8182 195 9918
18200 167 8231 195 9969
18300 168 8279 196 10021
18400 170 8330 197 10070
18500 172 8377 198 10123
18600 172 8399 198 10201
18700 173 8421 201 10279
18800 174 8471 202 10329
18900 174 8507 203 10393
19000 175 8580 203 10420
19100 175 8642 203 10458
19200 175 8700 203 10500
19300 175 8770 204 10530
19400 175 8833 204 10567
19500 176 8888 204 10612
19600 176 8935 204 10665
19700 176 8983 205 10717
19800 177 9030 205 10770
19900 178 9093 206 10807
20000 178 9131 206 10869
20100 178 9173 207 10927
20200 180 9228 207 10972
20300 180 9270 209 11030
20400 180 9317 210 11083
20500 180 9389 210 11111
20600 180 9461 211 11139
20700 181 9509 212 11191
20800 183 9559 213 11241
20900 183 9609 213 11291
21000 184 9680 213 11320
21100 185 9724 214 11376
21200 185 9772 214 11428
21300 186 9820 216 11480
21400 186 9892 216 11508
21500 187 9965 216 11535
21600 187 10014 217 11586
21700 188 10051 217 11649
21800 189 10105 218 11695
21900 191 10129 218 11771
22000 192 10160 218 11840
22100 192 10199 218 11901
22200 193 10247 218 11953
22300 193 10292 221 12008
22400 194 10340 222 12060
22500 194 10365 223 12135
22600 194 10408 223 12192
22700 195 10439 224 12261
22800 195 10498 226 12302
22900 195 10543 227 12357
23000 195 10585 227 12415
23100 196 10636 227 12464
23200 197 10684 227 12516
23300 197 10723 227 12577
23400 198 10763 229 12637
23500 199 10833 229 12667
23600 199 10891 229 12709
23700 199 10941 229 12759
23800 199 10986 229 12814
23900 199 11044 229 12856
24000 199 11093 229 12907
24100 199 11142 229 12958
24200 199 11194 229 13006
24300 199 11242 230 13058
24400 200 11278 230 13122
24500 201 11327 230 13173
24600 201 11376 230 13224
24700 201 11424 230 13276
24800 201 11467 230 13333
24900 201 11515 230 13385
25000 203 11546 230 13454
25100 203 11584 230 13516
25200 203 11633 230 13567
25300 203 11685 231 13615
25400 203 11745 231 13655
25500 204 11803 232 13697
25600 205 11850 232 13750
25700 206 11895 232 13805
25800 209 11928 233 13872
25900 210 11972 235 13928
26000 210 12021 235 13979
26100 210 12063 235 14037
26200 210 12104 235 14096
26300 210 12163 235 14137
26400 211 12227 237 14173
26500 211 12273 237 14227
26600 212 12317 237 14283
26700 212 12364 237 14336
26800 212 12414 237 14386
26900 213 12463 237 14437
27000 214 12517 238 14483
27100 215 12585 238 14515
27200 215 12638 241 14562
27300 217 12691 241 14609
27400 219 12740 241 14660
27500 220 12763 242 14737
27600 220 12811 243 14789
27700 220 12859 243 14841
27800 220 12907 243 14893
27900 220 12955 243 14945
28000 220 13003 244 14997
28100 220 13032 245 15068
28200 220 13078 245 15122
28300 222 13137 245 15163
28400 222 13177 245 15223
28500 222 13202 246 15298
28600 222 13229 246 15371
28700 223 13270 246 15430
28800 225 13308 247 15492
28900 226 13340 247 15560
29000 227 13389 248 15611
29100 229 13437 248 15663
29200 229 13477 248 15723
29300 229 13523 248 15777
29400 229 13552 248 15848
29500 229 13583 248 15917
29600 229 13636 250 15964
29700 229 13706 251 15994
29800 230 13750 251 16050
29900 230 13786 251 16114
30000 231 13840 252 16160
30100 231 13899 252 16201
30200 233 13957 252 16243
30300 234 14009 252 16291
30400 234 14040 252 16360
30500 235 14086 254 16414
30600 236 14119 254 16481
30700 236 14174 254 16526
30800 238 14222 254 16578
30900 238 14255 255 16645
31000 239 14294 256 16706
31100 240 14358 258 16742
31200 240 14425 260 16775
31300 241 14470 260 16830
31400 241 14532 260 16868
31500 241 14577 260 16923
31600 242 14626 260 16974
31700 243 14675 260 17025
31800 243 14730 260 17070
31900 244 14794 260 17106
32000 244 14841 261 17159
32100 244 14889 261 17211
32200 244 14937 262 17263
32300 244 14996 264 17304
32400 244 15044 264 17356
32500 246 15092 265 17408
32600 248 15140 265 17460
32700 248 15187 265 17513
32800 248 15235 265 17565
32900 248 15285 265 17615
33000 248 15333 265 17667
33100 249 15390 265 17710
33200 249 15434 265 17766
33300 249 15480 266 17820
33400 249 15537 266 17863
33500 249 15580 266 17920
33600 249 15630 266 17970
33700 249 15671 267 18029
33800 249 15719 267 18081
33900 249 15764 267 18136
34000 249 15812 267 18188
34100 249 15869 267 18231
34200 249 15905 267 18295
34300 249 15970 267 18330
34400 249 16019 267 18381
34500 249 16070 267 18430
34600 249 16123 267 18477
34700 249 16167 268 18533
34800 249 16212 269 18588
34900 249 16257 272 18643
35000 250 16305 273 18695
35100 251 16352 273 18748
35200 251 16393 273 18807
35300 251 16459 274 18841
35400 252 16507 275 18893
35500 253 16554 276 18946
35600 254 16601 276 18999
35700 254 16656 276 19044
35800 256 16722 277 19078
35900 256 16790 278 19110
36000 257 16844 278 19156
36100 257 16895 278 19205
36200 257 16963 279 19237
36300 258 17007 279 19293
36400 258 17038 280 19362
36500 258 17085 280 19415
36600 259 17131 280 19469
36700 259 17201 280 19499
36800 261 17265 280 19535
36900 262 17313 280 19587
37000 262 17351 280 19649
37100 262 17398 280 19702
37200 263 17448 281 19752
37300 263 17500 281 19800
37400 263 17549 282 19851
37500 264 17590 282 19910
37600 264 17639 282 19961
37700 265 17699 283 20001
37800 265 17745 283 20055
37900 267 17793 285 20107
38000 267 17857 286 20143
38100 267 17905 286 20195
38200 267 17954 286 20246
38300 267 18005 286 20295
38400 268 18054 286 20346
38500 268 18128 286 20372
38600 268 18172 286 20428
38700 268 18239 286 20461
38800 268 18303 286 20497
38900 269 18352 288 20548
39000 269 18418 290 20582
39100 270 18468 291 20632
39200 271 18516 291 20684
39300 271 18563 291 20737
39400 271 18613 292 20787
39500 272 18667 293 20833
39600 272 18739 293 20861
39700 273 18797 293 20903
39800 273 18840 293 20960
39900 274 18865 294 21035
40000 274 18917 296 21083
40100 274 18989 297 21111
40200 274 19038 297 21162
40300 275 19081 298 21219
40400 276 19130 298 21270
40500 277 19190 298 21310
40600 277 19238 298 21362
40700 279 19286 300 21414
40800 279 19339 302 21461
40900 280 19388 303 21512
41000 281 19422 303 21578
41100 282 19447 304 21653
41200 282 19496 304 21704
41300 282 19550 304 21750
41400 282 19620 304 21780
41500 282 19692 304 21808
41600 282 19738 306 21862
41700 283 19786 306 21914
41800 283 19851 306 21949
41900 284 19900 306 22000
42000 284 19948 306 22052
42100 284 20012 306 22088
42200 284 20063 309 22137
42300 284 20112 309 22188
42400 285 20164 310 22236
42500 285 20222 311 22278
42600 285 20271 311 22329
42700 287 20332 311 22368
42800 287 20401 311 22399
42900 289 20450 311 22450
43000 289 20490 311 22510
43100 289 20518 311 22582
43200 291 20567 312 22633
43300 291 20616 313 22684
43400 291 20665 315 22735
43500 291 20717 316 22783
43600 291 20761 316 22839
43700 292 20808 316 22892
43800 292 20862 316 22938
43900 292 20914 316 22986
44000 293 20961 316 23039
44100 293 21009 316 23091
44200 293 21055 317 23145
44300 294 21112 317 23188
44400 294 21152 317 23248
44500 294 21198 317 23302
44600 294 21247 317 23353
44700 294 21299 317 23401
44800 295 21346 317 23454
44900 295 21399 317 23501
45000 295 21455 317 23545
45100 295 21510 317 23590
45200 296 21562 317 23638
45300 296 21607 317 23693
45400 296 21640 319 23760
45500 296 21688 320 23812
45600 296 21737 321 23863
45700 298 21789 321 23911
45800 298 21840 321 23960
45900 299 21898 321 24002
46000 299 21947 321 24053
46100 299 21981 322 24119
46200 299 22023 322 24177
46300 299 22074 322 24226
46400 299 22114 323 24286
46500 299 22170 324 24330
46600 299 22218 325 24382
46700 299 22265 325 24435
46800 300 22295 326 24505
46900 301 22344 326 24556
47000 301 22411 327 24589
47100 301 22465 327 24635
47200 302 22514 328 24686
47300 303 22574 328 24726
47400 305 22640 329 24760
47500 305 22688 331 24812
47600 305 22735 331 24865
47700 306 22784 331 24916
47800 306 22838 331 24962
47900 306 22883 331 25017
48000 306 22932 331 25068
48100 306 22985 331 25115
48200 306 23023 331 25177
48300 306 23064 331 25236
48400 306 23114 331 25286
48500 306 23158 331 25342
48600 307 23220 331 25380
48700 307 23278 331 25422
48800 307 23324 333 25476
48900 307 23372 333 25528
49000 308 23424 334 25576
49100 308 23473 335 25627
49200 308 23523 335 25677
49300 309 23566 335 25734
49400 312 23608 335 25792
49500 313 23656 336 25844
49600 313 23705 337 25895
49700 313 23777 339 25923
49800 313 23829 339 25971
49900 313 23853 339 26047
50000 313 23902 339 26098
50100 313 23968 340 26132
50200 313 24024 340 26176
50300 313 24074 340 26226
50400 313 24131 340 26269
50500 313 24206 341 26294
50600 313 24264 341 26336
50700 313 24321 341 26379
50800 313 24377 342 26423
50900 315 24418 342 26482
51000 316 24441 344 26559
51100 317 24487 344 26613
51200 318 24534 344 26666
51300 318 24586 344 26714
51400 320 24637 344 26763
51500 321 24681 345 26819
51600 321 24709 346 26891
51700 321 24750 347 26950
51800 322 24800 348 27000
51900 322 24850 348 27050
52000 322 24894 349 27106
52100 322 24946 350 27154
52200 322 25013 350 27187
52300 322 25068 350 27232
52400 322 25119 350 27281
52500 323 25176 350 27324
52600 323 25239 350 27361
52700 323 25297 350 27403
52800 323 25339 350 27461
52900 323 25379 350 27521
53000 323 25446 350 27554
53100 323 25495 350 27605
53200 323 25553 350 27647
53300 323 25602 350 27698
53400 323 25649 350 27751
53500 324 25684 350 27816
53600 326 25740 350 27860
53700 328 25788 351 27912
53800 328 25852 352 27948
53900 329 25900 352 28000
54000 330 25951 354 28049
54100 332 25999 355 28101
54200 333 26047 355 28153
54300 333 26090 356 28210
54400 333 26139 356 28261
54500 333 26188 356 28312
54600 334 26256 357 28344
54700 335 26305 357 28395
54800 335 26355 357 28445
54900 336 26428 357 28472
55000 337 26479 357 28521
55100 337 26530 357 28570
55200 337 26572 357 28628
55300 337 26621 357 28679
55400 337 26693 358 28707
55500 337 26734 358 28766
55600 337 26783 359 28817
55700 337 26833 361 28867
55800 339 26877 361 28923
55900 339 26926 362 28974
56000 339 26985 363 29015
56100 340 27035 363 29065
56200 341 27088 363 29112
56300 342 27115 363 29185
56400 343 27185 364 29215
56500 344 27215 365 29285
56600 345 27264 366 29336
56700 346 27322 366 29378
56800 346 27370 370 29430
56900 346 27418 373 29482
57000 347 27468 374 29532
57100 347 27507 374 29593
57200 348 27532 377 29668
57300 349 27581 378 29719
57400 349 27653 378 29747
57500 349 27703 382 29797
57600 349 27727 382 29873
57700 349 27784 383 29916
57800 349 27832 383 29968
57900 350 27880 383 30020
58000 351 27928 384 30072
58100 351 28000 385 30100
58200 352 28044 385 30156
58300 353 28093 385 30207
58400 353 28141 385 30259
58500 353 28189 388 30311
58600 355 28238 388 30362
58700 355 28286 390 30414
58800 356 28332 390 30468
58900 356 28383 390 30517
59000 356 28437 390 30563
59100 356 28487 390 30613
59200 357 28531 390 30669
59300 357 28573 390 30727
59400 357 28624 390 30776
59500 357 28680 392 30820
59600 358 28728 393 30872
59700 359 28801 394 30899
59800 359 28850 394 30950
59900 359 28899 395 31001
60000 359 28941 395 31059
60100 359 28972 395 31128
60200 359 29020 396 31180
60300 359 29083 396 31217
60400 360 29134 396 31266
60500 363 29180 396 31320
60600 363 29242 396 31358
60700 363 29272 397 31428
60800 363 29322 397 31478
60900 365 29374 399 31526
61000 365 29447 400 31553
61100 365 29501 400 31599
61200 366 29550 402 31650
61300 366 29602 402 31698
61400 366 29626 402 31774
61500 366 29656 402 31844
61600 366 29708 402 31892
61700 367 29750 402 31950
61800 367 29794 404 32006
61900 368 29837 404 32063
62000 368 29906 404 32094
62100 369 29930 404 32170
62200 369 29965 404 32235
62300 369 30034 404 32266
62400 370 30078 407 32322
62500 371 30125 407 32375
62600 372 30169 407 32431
62700 372 30216 408 32484
62800 372 30279 411 32521
62900 372 30307 412 32593
63000 373 30357 412 32643
63100 373 30406 412 32694
63200 374 30451 414 32749
63300 375 30498 414 32802
63400 375 30562 414 32838
63500 376 30635 415 32865
63600 376 30686 417 32914
63700 376 30736 417 32964
63800 376 30770 417 33030
63900 376 30822 418 33078
64000 376 30870 418 33130
64100 376 30894 418 33206
64200 376 30941 418 33259
64300 376 31002 419 33298
64400 376 31049 419 33351
64500 378 31098 419 33402
64600 378 31133 419 33467
64700 379 31185 419 33515
64800 379 31245 419 33555
64900 379 31270 419 33630
65000 379 31319 419 33681
65100 379 31370 421 33730
65200 380 31426 422 33774
65300 380 31462 422 33838
65400 381 31499 422 33901
65500 383 31546 423 33954
65600 383 31592 424 34008
65700 383 31628 424 34072
65800 383 31665 425 34135
65900 383 31713 426 34187
66000 383 31761 427 34239
66100 384 31819 429 34281
66200 384 31844 429 34356
66300 385 31892 430 34408
66400 385 31964 430 34436
66500 385 32014 430 34486
66600 385 32063 430 34537
66700 385 32112 431 34588
66800 385 32173 432 34627
66900 386 32218 432 34682
67000 386 32276 432 34724
67100 387 32350 432 34750
67200 387 32395 433 34805
67300 388 32442 435 34858
67400 389 32500 436 34900
67500 389 32573 436 34927
67600 389 32628 437 34972
67700 390 32671 438 35029
67800 393 32702 440 35098
67900 393 32725 440 35175
68000 393 32790 440 35210
68100 395 32829 440 35271
68200 395 32877 442 35323
68300 395 32925 447 35375
68400 395 32985 447 35415
68500 396 33046 448 35454
68600 397 33120 449 35480
68700 398 33169 449 35531
68800 398 33224 450 35576
68900 398 33273 452 35627
69000 398 33347 452 35653
69100 400 33406 452 35694
69200 401 33441 452 35759
69300 401 33488 453 35812
69400 402 33551 454 35849
69500 402 33597 454 35903
69600 402 33642 454 35958
69700 402 33705 454 35995
69800 402 33755 454 36045
69900 402 33809 455 36091
70000 402 33849 455 36151
70100 402 33898 455 36202
70200 402 33929 455 36271
70300 402 33978 455 36322
70400 402 34041 455 36359
70500 402 34085 455 36415
70600 402 34141 456 36459
70700 402 34190 456 36510
70800 402 34239 458 36561
70900 403 34303 459 36597
71000 403 34348 459 36652
71100 403 34398 459 36702
71200 403 34458 460 36742
71300 403 34520 460 36780
71400 404 34588 460 36812
71500 404 34641 460 36859
71600 405 34711 461 36889
71700 405 34752 462 36948
71800 407 34823 462 36977
71900 407 34888 462 37012
72000 407 34956 462 37044
72100 407 35005 462 37095
72200 407 35035 463 37165
72300 407 35109 463 37191
72400 409 35157 463 37243
72500 409 35206 464 37294
72600 409 35256 464 37344
72700 409 35294 464 37406
72800 409 35343 464 37457
72900 409 35382 464 37518
73000 409 35451 464 37549
73100 409 35516 464 37584
73200 409 35569 464 37631
73300 409 35621 464 37679
73400 409 35685 464 37715
73500 410 35726 464 37774
73600 410 35776 466 37824
73700 412 35815 466 37885
73800 412 35842 467 37958
73900 412 35869 469 38031
74000 414 35916 469 38084
74100 416 35980 470 38120
74200 417 36028 471 38172
74300 417 36089 472 38211
74400 417 36138 472 38262
74500 418 36188 472 38312
74600 418 36239 473 38361
74700 419 36312 473 38388
74800 420 36346 473 38454
74900 420 36375 475 38525
75000 420 36410 476 38590
75100 421 36454 476 38646
75200 421 36494 476 38706
75300 421 36519 476 38781
75400 422 36551 476 38849
75500 422 36603 476 38897
75600 422 36661 476 38939
75700 423 36709 477 38991
75800 423 36771 478 39029
75900 424 36815 478 39085
76000 424 36889 478 39111
76100 424 36939 479 39161
76200 425 36993 479 39207
76300 427 37061 480 39239
76400 429 37109 481 39291
76500 429 37141 482 39359
76600 429 37189 482 39411
76700 431 37247 482 39453
76800 431 37317 482 39483
76900 431 37352 482 39548
77000 431 37394 482 39606
77100 431 37436 482 39664
77200 432 37482 483 39718
77300 432 37529 484 39771
77400 435 37593 485 39807
77500 435 37642 488 39858
77600 435 37697 489 39903
77700 436 37745 489 39955
77800 436 37794 489 40006
77900 436 37842 490 40058
78000 436 37910 490 40090
78100 436 37958 490 40142
78200 436 38023 490 40177
78300 436 38077 490 40223
78400 436 38139 491 40261
78500 438 38198 493 40302
78600 438 38261 493 40339
78700 441 38316 496 40384
78800 442 38377 496 40423
78900 444 38422 497 40478
79000 444 38471 498 40529
79100 446 38529 500 40571
79200 446 38571 500 40629
79300 446 38613 500 40687
79400 446 38662 501 40738
79500 447 38718 502 40782
79600 447 38758 502 40842
79700 447 38808 502 40892
79800 447 38852 504 40948
79900 447 38899 504 41001
80000 447 38946 504 41054
80100 448 38997 504 41103
80200 448 39045 506 41155
80300 449 39116 506 41184
80400 450 39163 506 41237
80500 451 39215 508 41285
80600 452 39248 508 41352
80700 452 39300 508 41400
80800 452 39347 508 41453
80900 452 39385 509 41515
81000 452 39433 509 41567
81100 452 39470 511 41630
81200 454 39530 511 41670
81300 454 39579 511 41721
81400 454 39627 513 41773
81500 454 39687 514 41813
81600 454 39732 514 41868
81700 454 39781 514 41919
81800 454 39836 514 41964
81900 454 39891 514 42009
82000 454 39934 514 42066
82100 454 39984 514 42116
82200 454 40035 514 42165
82300 454 40087 515 42213
82400 454 40137 515 42263
82500 454 40164 515 42336
82600 454 40229 516 42371
82700 454 40278 516 42422
82800 454 40328 517 42472
82900 454 40374 519 42526
83000 455 40422 519 42578
83100 455 40472 519 42628
83200 455 40510 519 42690
83300 455 40555 519 42745
83400 456 40586 520 42814
83500 456 40647 521 42853
83600 457 40695 525 42905
83700 457 40737 527 42963
83800 458 40759 527 43041
83900 459 40807 528 43093
84000 460 40852 530 43148
84100 461 40898 531 43202
84200 461 40942 531 43258
84300 461 40988 531 43312
84400 461 41047 531 43353
84500 461 41084 531 43416
84600 461 41130 532 43470
84700 461 41181 534 43519
84800 461 41254 534 43546
84900 462 41325 535 43575
85000 462 41368 535 43632
85100 462 41419 536 43681
85200 462 41456 536 43744
85300 463 41487 536 43813
85400 463 41537 536 43863
85500 463 41608 536 43892
85600 463 41666 536 43934
85700 463 41714 536 43986
85800 463 41762 537 44038
85900 464 41831 538 44069
86000 464 41904 538 44096
86100 466 41953 539 44147
86200 467 42002 541 44198
86300 468 42051 542 44249
86400 470 42112 542 44288
86500 471 42160 544 44340
86600 473 42206 544 44394
86700 474 42254 545 44446
86800 474 42277 546 44523
86900 474 42324 547 44576
87000 475 42364 549 44636
87100 475 42408 550 44692
87200 476 42463 550 44737
87300 478 42508 550 44792
87400 478 42560 550 44840
87500 478 42611 550 44889
87600 479 42672 552 44928
87700 479 42724 552 44976
87800 479 42756 552 45044
87900 479 42810 552 45090
88000 479 42866 552 45134
88100 479 42918 552 45182
88200 479 42977 552 45223
88300 480 43016 552 45284
88400 481 43056 552 45344
88500 481 43105 554 45395
88600 482 43158 555 45442
88700 482 43232 555 45468
88800 483 43295 555 45505
88900 483 43368 555 45532
89000 484 43421 556 45579
89100 484 43468 557 45632
89200 484 43514 559 45686
89300 485 43555 561 45745
89400 487 43607 564 45793
89500 487 43657 564 45843
89600 488 43707 564 45893
89700 488 43758 564 45942
89800 489 43804 565 45996
89900 489 43860 565 46040
90000 489 43910 566 46090
90100 490 43982 567 46118
90200 491 44022 568 46178
90300 493 44072 569 46228
90400 493 44118 570 46282
90500 493 44167 572 46333
90600 493 44215 572 46385
90700 493 44264 573 46436
90800 493 44312 573 46488
90900 493 44360 574 46540
91000 493 44387 575 46613
91100 493 44435 575 46665
91200 493 44483 576 46717
91300 495 44557 576 46743
91400 496 44580 577 46820
91500 497 44647 579 46853
91600 497 44690 581 46910
91700 498 44737 582 46963
91800 499 44783 582 47017
91900 499 44839 582 47061
92000 499 44900 582 47100
92100 499 44965 584 47135
92200 499 45003 585 47197
92300 499 45051 585 47249
92400 500 45101 585 47299
92500 500 45146 586 47354
92600 500 45197 586 47403
92700 500 45250 586 47450
92800 500 45311 586 47489
92900 501 45367 586 47533
93000 501 45390 587 47610
93100 501 45434 587 47666
93200 501 45468 587 47732
93300 502 45518 588 47782
93400 503 45576 588 47824
93500 505 45626 588 47874
93600 506 45674 588 47926
93700 508 45726 589 47974
93800 509 45800 589 48000
93900 509 45850 589 48050
94000 509 45901 589 48099
94100 509 45945 589 48155
94200 509 45998 589 48202
94300 509 46029 589 48271
94400 509 46092 589 48308
94500 511 46131 589 48369
94600 513 46179 589 48421
94700 513 46247 589 48453
94800 514 46312 589 48488
94900 514 46348 589 48552
95000 516 46393 589 48607
95100 518 46444 589 48656
95200 518 46492 589 48708
95300 519 46540 590 48760
95400 520 46578 590 48822
95500 520 46626 590 48874
95600 520 46670 592 48930
95700 521 46736 592 48964
95800 522 46784 592 49016
95900 523 46852 592 49048
96000 523 46900 593 49100
96100 523 46937 593 49163
96200 523 46988 593 49212
96300 524 47052 593 49248
96400 524 47107 594 49293
96500 524 47156 595 49344
96600 524 47211 595 49389
96700 524 47249 596 49451
96800 524 47296 596 49504
96900 524 47356 596 49544
97000 524 47405 596 49595
97100 524 47457 597 49643
97200 524 47527 597 49673
97300 526 47593 598 49707
97400 527 47640 598 49760
97500 528 47682 598 49818
97600 528 47751 600 49849
97700 528 47800 600 49900
97800 529 47848 600 49952
97900 529 47893 601 50007
98000 530 47943 601 50057
98100 531 47993 602 50107
98200 531 48040 602 50160
98300 531 48088 602 50212
98400 531 48140 603 50260
98500 533 48207 603 50293
98600 533 48253 604 50347
98700 533 48288 605 50412
98800 534 48356 606 50444
98900 534 48405 606 50495
99000 534 48448 608 50552
99100 535 48516 608 50584
99200 535 48565 608 50635
99300 535 48606 608 50694
99400 535 48661 608 50739
99500 535 48722 609 50778
99600 535 48783 609 50817
99700 535 48848 609 50852
99800 535 48903 609 50897
99900 535 48954 609 50946
100000 535 48994 609 51006
100100 535 49031 609 51069
100200 535 49087 609 51113
