#! FIELDS timestep dup_succ dup_attempts kill_succ kill_attempts
#! SET timestep 0.5
#! SET kernel_bandwidth [1. 1.]
#! SET kt 1.0
100 67 119 72 881
200 135 288 158 1712
300 218 530 251 2470
400 288 848 321 3152
500 337 1239 374 3761
600 374 1681 407 4319
700 394 2155 433 4845
800 416 2559 458 5441
900 430 2813 483 6187
1000 448 3016 506 6984
1100 476 3165 537 7835
1200 510 3320 579 8680
1300 536 3482 615 9518
1400 570 3663 657 10337
1500 615 3871 688 11129
1600 648 4117 733 11883
1700 680 4398 767 12602
1800 705 4711 803 13289
1900 735 5043 837 13957
2000 763 5409 862 14591
2100 784 5797 882 15203
2200 797 6175 912 15825
2300 809 6374 928 16626
2400 824 6795 942 17205
2500 829 7071 954 17929
2600 839 7288 965 18712
2700 841 7750 973 19250
2800 846 8229 986 19771
2900 853 8572 991 20428
3000 859 8879 993 21121
3100 862 9385 995 21615
3200 862 10012 998 21988
3300 865 10573 999 22427
3400 867 11011 999 22989
3500 867 11762 999 23238
3600 869 12030 1000 23970
3700 870 12561 1000 24439
3800 870 13101 1000 24899
3900 870 13630 1001 25370
4000 870 14114 1003 25886
4100 870 14617 1004 26383
4200 870 15117 1004 26883
4300 870 15594 1005 27406
4400 872 16112 1005 27888
4500 872 16860 1005 28140
4600 873 17392 1006 28608
4700 873 17820 1006 29180
4800 874 18353 1006 29647
4900 874 18875 1006 30125
5000 874 19567 1008 30433
5100 874 20060 1008 30940
5200 874 20640 1010 31360
5300 876 21282 1010 31718
5400 876 21801 1010 32199
5500 879 22372 1011 32628
5600 879 22848 1011 33152
5700 880 23249 1013 33751
5800 880 23713 1016 34287
5900 881 24236 1016 34764
6000 883 24755 1016 35245
6100 883 25088 1018 35912
6200 883 25686 1020 36314
6300 885 26259 1021 36741
6400 885 26736 1022 37264
6500 885 27229 1022 37771
6600 886 27731 1022 38269
6700 886 28394 1024 38606
6800 886 28848 1024 39152
6900 887 29424 1026 39576
7000 888 29906 1026 40094
7100 888 30404 1026 40596
7200 888 30781 1027 41219
7300 888 31325 1028 41675
7400 888 32056 1029 41944
7500 889 32542 1030 42458
7600 890 33039 1030 42961
7700 893 33481 1032 43519
7800 894 33980 1035 44020
7900 895 34462 1035 44538
8000 896 35040 1036 44960
8100 897 35519 1036 45481
8200 897 36002 1036 45998
8300 898 36380 1038 46620
8400 898 36900 1038 47100
8500 900 37411 1039 47589
8600 901 37906 1040 48094
8700 901 38400 1041 48600
8800 904 38908 1043 49092
8900 905 39390 1046 49610
9000 905 39897 1048 50103
9100 906 40379 1049 50621
9200 907 40930 1049 51070
9300 907 41340 1049 51660
9400 908 41919 1049 52081
9500 909 42365 1051 52635
9600 911 42862 1052 53138
9700 913 43337 1053 53663
9800 913 43855 1053 54145
9900 913 44565 1053 54435
10000 913 45115 1053 54885
10100 913 45765 1055 55235
10200 914 46281 1056 55719
10300 915 46744 1056 56256
10400 917 47273 1056 56727
10500 918 47760 1057 57240
10600 919 48319 1057 57681
10700 919 48889 1057 58111
10800 920 49216 1057 58784
10900 921 49866 1059 59134
11000 922 50395 1059 59605
11100 922 50697 1060 60303
11200 922 51359 1060 60641
11300 922 52015 1060 60985
11400 922 52541 1060 61459
11500 922 53115 1060 61885
11600 923 53654 1060 62346
11700 924 54048 1063 62952
11800 925 54575 1063 63425
11900 925 55007 1065 63993
12000 926 55502 1068 64498
12100 927 56145 1069 64855
12200 928 56592 1069 65408
12300 930 57140 1074 65860
12400 932 57626 1076 66374
12500 932 58124 1076 66876
12600 933 58631 1076 67369
12700 933 59178 1076 67822
12800 933 59582 1077 68418
12900 935 60116 1081 68884
13000 939 60471 1083 69529
13100 940 60975 1084 70025
13200 941 61351 1085 70649
13300 943 61851 1087 71149
13400 945 62415 1088 71585
13500 946 62916 1091 72084
13600 947 63414 1091 72586
13700 947 64088 1092 72912
13800 948 64457 1092 73543
13900 948 64910 1092 74090
14000 948 65330 1093 74670
14100 950 65799 1094 75201
14200 950 66269 1094 75731
14300 950 66702 1094 76298
14400 951 67201 1095 76799
14500 951 67677 1095 77323
14600 952 68316 1097 77684
14700 952 68824 1097 78176
14800 952 69491 1097 78509
14900 955 69982 1098 79018
15000 955 70556 1099 79444
15100 956 70959 1099 80041
15200 958 71605 1101 80395
15300 958 72103 1101 80897
15400 958 72692 1101 81308
15500 958 73333 1101 81667
15600 958 73995 1102 82005
15700 958 74436 1103 82564
15800 960 75019 1106 82981
15900 960 75477 1107 83523
16000 961 76005 1108 83995
16100 961 76479 1109 84521
16200 962 76974 1109 85026
16300 962 77490 1110 85510
16400 963 77995 1110 86005
16500 963 78498 1110 86502
16600 963 79022 1113 86978
16700 965 79435 1113 87565
16800 966 80065 1113 87935
16900 967 80756 1114 88244
17000 970 81486 1115 88514
17100 973 81979 1119 89021
17200 973 82473 1120 89527
17300 973 83047 1122 89953
17400 973 83457 1122 90543
17500 974 83950 1123 91050
17600 975 84270 1124 91730
17700 977 84613 1125 92387
17800 978 85067 1126 92933
17900 978 85546 1128 93454
18000 980 85999 1128 94001
18100 980 86496 1128 94504
18200 980 87007 1128 94993
18300 980 87481 1128 95519
18400 980 88013 1130 95987
18500 981 88522 1133 96478
18600 981 88933 1133 97067
18700 982 89540 1134 97460
18800 983 89915 1136 98085
18900 984 90404 1139 98596
19000 985 91095 1140 98905
19100 985 91497 1140 99503
19200 985 92024 1141 99976
19300 985 92639 1142 100361
