#! FIELDS timestep dup_succ dup_attempts kill_succ kill_attempts
#! SET timestep 0.5
#! SET kernel_bandwidth [0.3 0.3]
#! SET kt 1.0
100 67 101 76 899
200 143 273 169 1727
300 222 520 266 2480
400 293 844 349 3156
500 342 1239 404 3761
600 370 1679 451 4321
700 395 1725 492 5275
800 431 1783 556 6217
900 498 1879 639 7121
1000 571 2054 737 7946
1100 651 2311 832 8689
1200 715 2656 893 9344
1300 754 3058 931 9942
1400 788 3498 959 10502
1500 803 3811 973 11189
1600 805 4263 985 11737
1700 811 4668 989 12332
1800 815 5067 992 12933
1900 820 5525 1000 13475
2000 822 6109 1007 13891
2100 827 6633 1012 14367
2200 829 7275 1017 14725
2300 833 7723 1024 15277
2400 838 8201 1028 15799
2500 842 8645 1029 16355
2600 845 9115 1031 16885
2700 853 9616 1035 17384
2800 861 10150 1039 17850
2900 866 10665 1044 18335
3000 870 11241 1050 18759
3100 874 11783 1055 19217
3200 878 12346 1056 19654
3300 880 12813 1062 20187
3400 882 13265 1066 20735
3500 886 13765 1067 21235
3600 888 14245 1072 21755
3700 890 14742 1077 22258
3800 891 15266 1079 22734
3900 898 15805 1080 23195
4000 901 16220 1083 23780
4100 905 16725 1085 24275
4200 907 17310 1086 24690
4300 910 17929 1093 25071
4400 912 18522 1097 25478
4500 915 18969 1099 26031
4600 918 19516 1104 26484
4700 923 20003 1106 26997
4800 926 20513 1115 27487
4900 930 21010 1125 27990
5000 932 21541 1128 28459
5100 932 21963 1131 29037
5200 935 22455 1138 29545
5300 939 22919 1144 30081
5400 941 23511 1150 30489
5500 948 23887 1157 31113
5600 954 24375 1162 31625
5700 963 25020 1167 31980
5800 967 25599 1171 32401
5900 969 25993 1174 33007
6000 972 26518 1182 33482
6100 979 27032 1184 33968
6200 982 27506 1188 34494
6300 985 28033 1191 34967
6400 991 28585 1195 35415
6500 995 29036 1203 35964
6600 999 29710 1208 36290
6700 1009 30145 1210 36855
6800 1016 30621 1218 37379
6900 1020 31255 1220 37745
7000 1026 31821 1225 38179
7100 1030 32296 1227 38704
7200 1034 32830 1231 39170
7300 1036 33311 1239 39689
7400 1041 33750 1243 40250
7500 1043 34246 1249 40754
7600 1049 34685 1255 41315
7700 1053 35020 1263 41980
7800 1061 35692 1271 42308
7900 1063 36217 1276 42783
8000 1066 36723 1280 43277
8100 1074 37260 1285 43740
8200 1078 37788 1293 44212
8300 1082 38221 1297 44779
8400 1083 38648 1300 45352
8500 1089 39076 1307 45924
8600 1093 39537 1312 46463
8700 1098 40008 1319 46992
8800 1108 40459 1326 47541
8900 1118 40905 1329 48095
9000 1125 41414 1333 48586
9100 1131 41797 1336 49203
9200 1136 42275 1343 49725
9300 1143 42723 1349 50277
9400 1145 43100 1355 50900
9500 1147 43563 1360 51437
9600 1151 44014 1366 51986
9700 1157 44531 1370 52469
9800 1158 45006 1373 52994
9900 1161 45529 1374 53471
10000 1162 46129 1380 53871
10100 1165 46614 1384 54386
10200 1169 46967 1387 55033
10300 1172 47376 1390 55624
10400 1174 47832 1392 56168
10500 1177 48384 1393 56616
10600 1180 48754 1400 57246
10700 1186 49234 1406 57766
10800 1192 49639 1408 58361
10900 1193 50184 1410 58816
11000 1199 50583 1413 59417
