#! FIELDS timestep dup_succ dup_attempts kill_succ kill_attempts
#! SET timestep 0.5
#! SET kernel_bandwidth [0.8 0.8]
#! SET kt 1.0
100 68 109 77 891
200 146 282 172 1718
300 225 542 265 2458
400 292 880 348 3120
500 335 1301 394 3699
600 370 1770 424 4230
700 393 1987 450 5013
800 424 2105 489 5895
900 473 2215 534 6785
1000 518 2366 588 7634
1100 573 2565 643 8435
1200 623 2815 705 9185
1300 664 3117 747 9883
1400 706 3453 786 10547
1500 737 3826 822 11174
1600 757 4110 849 11890
1700 775 4344 870 12656
1800 790 4550 887 13450
1900 803 4768 898 14232
2000 811 5022 905 14978
2100 816 5460 911 15540
2200 819 5953 913 16047
2300 825 6547 915 16453
2400 827 7031 916 16969
2500 827 7559 918 17441
2600 832 8048 921 17952
2700 834 8776 926 18224
2800 840 9313 928 18687
2900 841 9736 931 19264
3000 841 10302 936 19698
3100 845 10810 940 20190
3200 847 11284 940 20716
3300 847 11780 941 21220
3400 848 12382 943 21618
3500 848 12882 943 22118
3600 848 13386 944 22614
3700 848 13892 945 23108
3800 848 14474 945 23526
3900 848 14989 945 24011
4000 849 15450 948 24550
4100 849 16162 951 24838
4200 849 16810 951 25190
4300 849 17363 951 25637
4400 849 17735 952 26265
4500 850 18147 953 26853
4600 851 18624 954 27376
4700 851 19102 954 27898
4800 851 19733 956 28267
4900 852 20263 956 28737
5000 852 20847 957 29153
5100 853 21274 957 29726
5200 853 21751 959 30249
5300 856 22270 961 30730
5400 857 22656 962 31344
5500 858 22906 965 32094
5600 860 23487 968 32513
5700 862 23941 971 33059
5800 862 24461 975 33539
5900 862 25045 975 33955
6000 862 25433 976 34567
6100 863 25900 977 35100
6200 863 26355 980 35645
6300 865 26886 981 36114
6400 865 27407 982 36593
6500 865 27978 983 37022
6600 865 28549 984 37451
6700 866 29075 985 37925
6800 868 29730 988 38270
6900 869 30341 989 38659
7000 871 30958 991 39042
7100 871 31422 993 39578
7200 871 31957 994 40043
7300 874 32482 997 40518
7400 874 33041 998 40959
7500 874 33463 1000 41537
7600 875 34062 1001 41938
7700 875 34612 1004 42388
7800 878 35057 1006 42943
7900 881 35765 1006 43235
8000 885 36246 1006 43754
8100 886 36874 1006 44126
8200 886 37412 1006 44588
8300 887 37943 1007 45057
8400 887 38549 1007 45451
8500 888 39093 1010 45907
8600 888 39631 1010 46369
8700 888 40216 1011 46784
8800 888 40726 1014 47274
8900 890 41355 1014 47645
9000 891 41723 1015 48277
9100 892 42231 1016 48769
9200 892 42729 1017 49271
9300 893 43323 1017 49677
9400 896 43968 1019 50032
9500 897 44344 1024 50656
9600 901 44861 1024 51139
9700 903 45238 1024 51762
9800 903 45710 1025 52290
9900 903 46221 1026 52779
10000 903 46774 1027 53226
10100 905 47300 1027 53700
10200 906 47830 1028 54170
10300 906 48328 1031 54672
10400 907 48824 1033 55176
10500 908 49311 1034 55689
10600 908 49726 1035 56274
10700 908 50194 1038 56806
10800 908 50539 1039 57461
10900 910 50994 1039 58006
11000 911 51438 1040 58562
11100 911 52006 1040 58994
11200 911 52600 1041 59400
11300 912 53092 1041 59908
11400 912 53552 1043 60448
11500 912 54092 1043 60908
11600 914 54599 1047 61401
11700 916 55202 1049 61798
11800 917 55869 1050 62131
11900 918 56394 1051 62606
12000 919 56820 1053 63180
12100 921 57314 1054 63686
12200 921 57934 1056 64066
12300 924 58324 1058 64676
12400 927 58859 1061 65141
12500 927 59348 1061 65652
12600 927 59833 1062 66167
12700 927 60372 1063 66628
12800 933 61089 1065 66911
12900 934 61720 1065 67280
13000 938 62333 1066 67667
13100 938 63015 1068 67985
13200 940 63569 1068 68431
13300 941 64087 1068 68913
13400 944 64591 1069 69409
13500 948 65037 1070 69963
13600 948 65530 1072 70470
13700 953 66185 1074 70815
13800 953 66896 1075 71104
13900 954 67260 1075 71740
14000 954 67815 1077 72185
14100 955 68533 1079 72467
14200 956 69091 1080 72909
14300 956 69619 1080 73381
14400 956 69952 1081 74048
14500 956 70383 1081 74617
14600 957 70888 1081 75112
14700 958 71431 1081 75569
14800 958 71904 1081 76096
14900 962 72362 1081 76638
15000 962 72846 1081 77154
15100 963 73194 1082 77806
15200 965 73663 1083 78337
15300 965 74083 1083 78917
15400 966 74603 1084 79397
15500 966 75307 1085 79693
15600 966 76017 1085 79983
15700 967 76483 1086 80517
15800 969 76908 1086 81092
15900 970 77548 1087 81452
16000 970 78070 1087 81930
16100 972 78561 1090 82439
16200 975 78845 1091 83155
16300 976 79185 1091 83815
16400 976 79747 1091 84253
16500 976 80178 1091 84822
16600 978 80672 1092 85328
16700 978 81080 1093 85920
16800 981 81577 1093 86423
16900 982 81990 1093 87010
17000 984 82449 1096 87551
17100 988 82979 1097 88021
17200 988 83351 1098 88649
17300 988 83870 1098 89130
17400 988 84202 1098 89798
17500 990 84523 1100 90477
17600 992 84990 1102 91010
17700 994 85672 1104 91328
17800 998 86148 1105 91852
17900 998 86749 1108 92251
18000 1002 87374 1109 92626
18100 1005 87871 1110 93129
18200 1006 88374 1115 93626
18300 1008 88889 1118 94111
18400 1010 89357 1119 94643
18500 1011 89852 1119 95148
18600 1012 90465 1120 95535
18700 1013 91032 1122 95968
18800 1016 91525 1124 96475
18900 1017 92142 1125 96858
19000 1018 92627 1128 97373
19100 1020 92927 1128 98073
19200 1020 93360 1129 98640
19300 1022 93736 1131 99264
19400 1023 94372 1135 99628
19500 1025 94838 1135 100162
19600 1026 95375 1137 100625
19700 1027 95755 1137 101245
19800 1027 96147 1139 101853
19900 1027 96588 1141 102412
20000 1028 97020 1142 102980
20100 1028 97513 1142 103487
20200 1031 97985 1143 104015
20300 1032 98656 1143 104344
20400 1034 99218 1144 104782
20500 1035 99862 1145 105138
20600 1037 100393 1147 105607
20700 1039 101067 1147 105933
20800 1041 101746 1148 106254
20900 1041 102179 1149 106821
21000 1041 102566 1150 107434
21100 1044 102976 1150 108024
21200 1045 103439 1151 108561
21300 1045 103918 1151 109082
21400 1046 104411 1151 109589
21500 1047 104853 1151 110147
21600 1048 105291 1155 110709
21700 1048 105879 1155 111121
21800 1050 106501 1155 111499
