#Bandwidth	Average	     StandardDeviation
#0.0	499.7270833333333	16.690632911054706
0.0	503.63427777777775	13.966467742659987
0.05	500.1123333333333	12.147840793550223
0.1	500.7926111111111	9.357829763141059
0.15	499.5155	        7.173223369149216
0.2	500.16263888888886	6.384885616459761
0.25	499.9431388888889	5.830553148562354
0.3	500.72527777777776	5.611962647740841
0.35	500.29575	        5.54519536511273
0.4	500.36308333333335	5.189829991021263
0.45	499.4094166666667	5.292443821440156
0.5	499.7804722222222	5.156168522712644
0.55	499.6718055555556	4.963002042973608
0.6	500.2870277777778	4.954934951228458
0.65	500.52433333333335	4.822862059441596
0.7	500.86725	        4.7951583837065535
0.75	499.01827777777777	4.6695579674033185
0.8	499.43594444444443	5.094785582471716
0.85	499.49344444444444	4.818303265602162
0.9	500.23	                4.985625048457716
0.95	500.59961111111113	5.1841576784104415
1.0	501.29636111111114	4.949651004393646
