#! FIELDS timestep dup_succ dup_attempts kill_succ kill_attempts
#! SET timestep 0.5
#! SET kernel_bandwidth [0.45 0.45]
#! SET kt 1.0
100 79 273 85 727
200 158 470 196 1530
300 248 756 315 2244
400 326 1144 426 2856
500 397 1329 514 3671
600 466 1544 593 4456
700 542 1833 661 5167
800 596 2199 719 5801
900 635 2617 748 6383
1000 658 3066 775 6934
1100 673 3540 787 7460
1200 681 4033 796 7967
1300 684 4481 804 8519
1400 694 5007 811 8993
1500 699 5475 812 9525
1600 702 6132 820 9868
1700 703 6538 823 10462
1800 706 6960 824 11040
1900 707 7502 826 11498
2000 712 8088 827 11912
2100 720 8758 831 12242
2200 727 9235 837 12765
2300 736 9793 845 13207
2400 742 10350 851 13650
2500 744 10761 854 14239
2600 751 11373 860 14627
2700 753 11850 861 15150
2800 759 12226 867 15774
2900 766 12735 875 16265
3000 772 13267 880 16733
3100 773 13782 886 17218
3200 778 14280 886 17720
3300 780 14823 886 18177
3400 790 15293 893 18707
3500 795 15742 900 19258
3600 799 16167 904 19833
3700 801 16698 911 20302
3800 804 17242 913 20758
3900 807 17753 915 21247
4000 811 18225 917 21775
4100 813 18750 918 22250
4200 815 19201 923 22799
4300 816 19766 927 23234
4400 819 20255 934 23745
4500 821 20837 943 24163
4600 828 21290 946 24710
4700 829 21784 946 25216
4800 835 22263 946 25737
4900 838 22740 946 26260
5000 842 23263 951 26737
5100 843 23790 957 27210
5200 845 24258 957 27742
5300 851 24679 968 28321
5400 852 25215 969 28785
5500 858 25725 976 29275
5600 860 26206 984 29794
5700 864 26655 987 30345
5800 867 27206 989 30794
5900 870 27652 996 31348
6000 874 28220 999 31780
6100 880 28583 1002 32417
6200 883 28953 1006 33047
6300 888 29504 1007 33496
6400 892 30003 1009 33997
6500 895 30454 1011 34546
6600 899 30873 1020 35127
6700 901 31362 1027 35638
6800 907 31830 1032 36170
6900 911 32336 1034 36664
7000 915 32982 1040 37018
7100 919 33594 1042 37406
7200 921 34087 1047 37913
7300 926 34547 1057 38453
7400 930 35112 1062 38888
7500 934 35609 1067 39391
7600 943 36094 1073 39906
7700 950 36590 1074 40410
7800 955 37209 1082 40791
7900 958 37758 1086 41242
8000 961 38150 1093 41850
8100 966 38588 1101 42412
8200 974 39140 1107 42860
8300 977 39712 1114 43288
8400 981 40154 1117 43846
8500 988 40729 1123 44271
8600 992 41251 1129 44749
8700 998 41686 1136 45314
8800 1001 42185 1141 45815
8900 1005 42730 1145 46270
9000 1009 43229 1151 46771
9100 1017 43659 1162 47341
9200 1018 44106 1166 47894
9300 1023 44593 1169 48407
9400 1030 45178 1172 48822
9500 1040 45588 1180 49412
9600 1043 46056 1188 49944
9700 1048 46532 1191 50468
9800 1050 47024 1197 50976
9900 1053 47549 1202 51451
10000 1057 48159 1206 51841
10100 1061 48612 1215 52388
10200 1072 49067 1217 52933
10300 1076 49527 1219 53473
10400 1082 49950 1220 54050
10500 1086 50362 1229 54638
10600 1090 50819 1232 55181
10700 1094 51274 1236 55726
10800 1096 51656 1240 56344
10900 1098 52248 1241 56752
11000 1103 52798 1250 57202
11100 1105 53341 1255 57659
11200 1108 53828 1260 58172
11300 1109 54323 1264 58677
11400 1117 54855 1271 59145
11500 1123 55406 1274 59594
11600 1126 55886 1277 60114
11700 1127 56352 1282 60648
11800 1128 56772 1286 61228
11900 1130 57113 1292 61887
12000 1135 57591 1297 62409
12100 1136 58083 1306 62917
12200 1140 58563 1309 63437
12300 1146 59089 1314 63911
12400 1149 59615 1316 64385
12500 1152 60179 1318 64821
12600 1155 60659 1320 65341
12700 1159 61177 1323 65823
12800 1161 61687 1329 66313
12900 1162 62036 1331 66964
13000 1170 62726 1339 67274
13100 1173 63162 1341 67838
13200 1178 63580 1345 68420
13300 1183 64040 1354 68960
13400 1194 64428 1364 69572
13500 1196 65063 1366 69937
13600 1202 65493 1371 70507
13700 1205 65906 1372 71094
13800 1206 66441 1374 71559
13900 1212 66969 1378 72031
14000 1215 67541 1381 72459
14100 1222 67976 1392 73024
14200 1228 68470 1404 73530
14300 1230 68902 1410 74098
14400 1233 69268 1414 74732
14500 1233 69712 1416 75288
14600 1237 70333 1418 75667
14700 1242 70810 1423 76190
14800 1249 71342 1430 76658
14900 1252 72003 1438 76997
15000 1255 72532 1444 77468
15100 1260 73065 1448 77935
15200 1266 73501 1450 78499
15300 1270 74056 1450 78944
15400 1275 74563 1454 79437
15500 1281 75136 1455 79864
15600 1288 75614 1458 80386
15700 1289 76080 1462 80920
15800 1292 76527 1473 81473
15900 1295 77006 1479 81994
16000 1300 77348 1491 82652
16100 1302 77638 1497 83362
16200 1304 78173 1501 83827
16300 1309 78615 1507 84385
16400 1310 79065 1511 84935
16500 1316 79507 1519 85493
16600 1324 79973 1526 86027
16700 1329 80467 1528 86533
16800 1336 81016 1531 86984
16900 1345 81520 1539 87480
17000 1351 81918 1546 88082
17100 1354 82335 1550 88665
17200 1358 82885 1557 89115
17300 1361 83408 1558 89592
17400 1366 83893 1561 90107
17500 1370 84453 1562 90547
17600 1375 84950 1564 91050
17700 1378 85470 1570 91530
17800 1381 85937 1575 92063
17900 1386 86544 1580 92456
18000 1389 86982 1580 93018
18100 1393 87532 1585 93468
18200 1400 87964 1592 94036
18300 1406 88600 1594 94400
18400 1411 89189 1598 94811
18500 1418 89712 1605 95288
18600 1425 90133 1607 95867
18700 1430 90646 1615 96354
18800 1435 91133 1624 96867
18900 1441 91510 1631 97490
19000 1445 91966 1635 98034
19100 1453 92395 1640 98605
19200 1457 93029 1642 98971
19300 1461 93485 1647 99515
19400 1464 93987 1651 100013
19500 1466 94523 1655 100477
19600 1468 95009 1656 100991
19700 1475 95467 1660 101533
19800 1479 95939 1668 102061
19900 1486 96456 1673 102544
20000 1489 97018 1673 102982
20100 1492 97563 1684 103437
20200 1497 98130 1692 103870
20300 1501 98709 1697 104291
20400 1507 99249 1705 104751
20500 1510 99736 1708 105264
20600 1516 100424 1716 105576
20700 1523 100934 1717 106066
20800 1527 101432 1725 106568
20900 1531 102002 1728 106998
21000 1537 102541 1733 107459
21100 1542 103057 1737 107943
21200 1548 103548 1745 108452
21300 1557 104068 1754 108932
21400 1560 104762 1755 109238
21500 1572 105279 1761 109721
21600 1575 105722 1764 110278
21700 1577 106262 1766 110738
21800 1582 106708 1776 111292
21900 1589 107178 1780 111822
22000 1593 107649 1784 112351
22100 1595 108256 1788 112744
22200 1598 108742 1791 113258
22300 1604 109181 1793 113819
22400 1610 109580 1798 114420
22500 1613 110039 1806 114961
22600 1620 110588 1809 115412
22700 1625 111053 1812 115947
22800 1627 111465 1814 116535
22900 1631 112036 1822 116964
23000 1631 112504 1822 117496
23100 1637 112945 1829 118055
23200 1645 113446 1831 118554
23300 1651 113979 1833 119021
23400 1657 114440 1836 119560
23500 1660 114791 1836 120209
23600 1665 115383 1841 120617
23700 1669 115851 1844 121149
23800 1671 116399 1851 121601
23900 1677 116918 1854 122082
24000 1682 117387 1859 122613
24100 1684 117902 1861 123098
24200 1686 118345 1863 123655
24300 1690 118814 1867 124186
24400 1694 119289 1870 124711
24500 1697 119661 1875 125339
24600 1703 120163 1882 125837
24700 1705 120564 1885 126436
24800 1706 121022 1889 126978
24900 1708 121481 1894 127519
25000 1710 121985 1901 128015
25100 1712 122556 1903 128444
25200 1721 123090 1905 128910
25300 1724 123572 1911 129428
25400 1728 124061 1918 129939
25500 1732 124615 1923 130385
25600 1736 125062 1929 130938
25700 1744 125509 1935 131491
25800 1749 126079 1941 131921
25900 1751 126546 1945 132454
26000 1754 127039 1948 132961
26100 1761 127571 1953 133429
26200 1765 128104 1958 133896
26300 1768 128587 1963 134413
